none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "b" 1;
"d" "b" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "d" "k" 1; "d" "b" "h" 1;
"c" "d" "k" 1; "d" "b" "h" 1;
"c" "d" "k" 1; "d" "b" "h" 1;
"c" "d" "k" 1; "d" "b" "h" 1;
"c" "f" 2; "d" "b" "h" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"a" "f" "q" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 5;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "b" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "b" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "b" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 6; "b" "g" 6; "c" "d" "p" 5; "d" "b" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "d" "p" 5; "d" "b" "g" "i" "l" "q" "r" 4; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "d" "p" 5; "d" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "d" "p" 5; "d" "g" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "d" "p" 5; "d" "g" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "d" "p" 5; "d" "g" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "d" "i" "p" 5; "d" "g" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "d" "i" "p" 5; "d" "g" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "d" "i" "p" 5; "d" "g" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "d" "i" "p" 5; "d" "g" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "d" "i" "p" 5; "d" "g" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "d" "i" "p" 5; "d" "g" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "d" "i" "p" 5; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "d" "i" "p" 5; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "d" "i" "p" 5; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "d" "i" "p" 5; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "d" "i" "p" 5; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "d" "i" "p" 5; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "d" "i" "p" 5; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "d" "i" "p" 5; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "d" "i" "p" 5; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "d" "i" "p" 5; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "d" "i" "p" 5; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "d" "i" "p" 5; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 7; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
"a" "g" 7; "b" "g" 6; "c" "i" 6; "d" "g" "q" "r" 5; "e" "v" 6;
