none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1; "e" "n" 1;
"d" "h" "u" 1; "e" "n" 1;
"d" "h" "u" 1; "e" "n" 1;
"d" "h" "u" 1; "e" "n" 1;
"d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" "y" 1;
"a" "e" 3; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "e" 3; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "h" 4; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" "o" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "h" 4; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" "o" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "h" 4; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" "o" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "h" 4; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" "o" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "h" 4; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" "o" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "h" 4; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" "o" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "h" 4; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" "o" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "h" 4; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" "o" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "h" 4; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" "o" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "h" 4; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" "o" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "h" 4; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" "o" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "h" 4; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" "o" 3; "d" "n" "t" 3; "e" "r" "x" 3;
"a" "h" 4; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" "o" 3; "d" "n" "t" 3; "e" "m" "r" "x" 3;
"a" "h" 4; "b" "g" "i" "j" "k" "n" "t" 2; "c" "k" "o" 3; "d" "n" "t" 3; "e" "m" "r" "x" 3;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" "t" 3; "e" "m" "q" "r" "x" 3;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "m" "q" "r" "x" 3;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "m" "q" "r" "x" 3;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "m" "q" "r" "x" 3;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "m" "q" "r" "x" 3;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "f" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "f" "n" 3; "e" "r" 4;
"a" "h" 4; "b" "k" 3; "c" "o" 4; "d" "f" "n" 3; "e" "r" 4;
"a" "h" 5; "b" "k" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" "s" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" "s" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" "s" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" "s" 4; "d" "f" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" "s" 4; "d" "f" "l" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" "s" 4; "d" "f" "l" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "o" "s" 4; "d" "f" "l" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "k" "o" "s" 4; "d" "f" "l" "n" "u" 3; "e" "r" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "k" "o" "s" 4; "d" "f" "l" "n" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "k" "o" "s" 4; "d" "f" "l" "n" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "k" "o" "s" 4; "d" "f" "l" "n" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "k" "t" 3; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "t" 4; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "t" 4; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "t" 4; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "t" 4; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "t" 4; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "t" 4; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "t" 4; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "t" 4; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "r" "x" 4;
"a" "h" 5; "b" "t" 4; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "t" 4; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "t" 4; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "t" 4; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "f" "l" "n" "s" "u" 3; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "g" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" "o" "s" 4; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" 5; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" 5; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" 5; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" 5; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" 5; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 6; "c" "k" 5; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "s" "u" 4; "e" "e" "r" "x" 4;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "u" 5; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "u" 5; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "b" "h" "s" "u" 4; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "b" "h" "s" "u" 4; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "b" "h" "s" "u" 4; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "b" "h" "s" "u" 4; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "b" "h" "s" "u" 4; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "b" "h" "s" "u" 4; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "b" "h" "s" "u" 4; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "b" "h" "s" "u" 4; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "b" "h" "s" "u" 4; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "b" "h" "s" "u" 4; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "b" "h" "s" "u" 4; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "b" "h" "s" "u" 4; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" 5; "d" "s" 5; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "e" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "e" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "e" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "e" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "e" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "e" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "e" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "e" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "e" "h" 5; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "f" 6; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "f" 6; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "f" 6; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" 5;
"a" "f" 6; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" "x" 5;
"a" "f" 6; "b" "o" 5; "c" "k" "o" 5; "d" "s" 5; "e" "r" "x" 5;
"a" "f" 6; "b" "o" 5; "c" "s" 6; "d" "s" 5; "e" "r" "x" 5;
"a" "f" 6; "b" "o" 5; "c" "s" 6; "d" "s" 5; "e" "r" "x" 5;
"a" "f" 6; "b" "o" 5; "c" "s" 6; "d" "s" 5; "e" "r" "x" 5;
"a" "f" 6; "b" "o" 5; "c" "s" 6; "d" "s" 5; "e" "r" "x" 5;
