none
none
none
none
none
none
none
none
none
none
"d" "b" 1;
"d" "b" 1;
"d" "b" 1;
"d" "b" 1;
"b" "z" 1; "d" "b" 1;
"b" "z" 1; "d" "b" 1;
"b" "z" 1; "d" "b" 1;
"b" "z" 1; "d" "b" 1;
"b" "z" 1; "d" "b" 1;
"a" "p" 1; "b" "z" 1; "c" "q" 1; "d" "b" 1;
"a" "s" 5; "b" "d" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "v" "w" 4;
"a" "s" 5; "b" "d" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "h" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "h" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "h" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "h" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "h" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" "f" 5; "c" "a" "y" 4; "d" "a" "h" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "f" "n" "v" "w" 4;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "w" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "w" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "w" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "w" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "v" "w" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "v" "w" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "v" "w" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "v" "w" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" "w" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" "w" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "v" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "v" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "v" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "v" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "v" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "v" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "v" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "v" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "v" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "u" "v" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "u" "v" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "u" "v" "y" "z" 4; "d" "a" "h" "i" "l" "n" 4; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "u" "v" "y" "z" 4; "d" "l" 5; "e" "r" "v" 5;
"a" "s" 5; "b" "d" 6; "c" "a" "g" "u" "v" "y" "z" 4; "d" "l" 5; "e" "r" "v" 5;
