none
none
none
none
none
none
none
none
none
none
none
"e" "w" 1;
"e" "w" 1;
"c" "w" 1; "e" "w" 1;
"c" "w" 1; "e" "b" "w" 1;
"c" "w" 1; "e" "b" "w" 1;
"c" "w" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"a" "h" 1; "c" "w" 1; "d" "b" 1; "e" "b" "w" 1;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 5;
"a" "j" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 5;
"a" "j" "o" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 5;
"a" "j" "o" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 5;
"a" "j" "o" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" 5;
"a" "j" "o" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" "r" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" "r" "u" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" "r" "u" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" "r" "u" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "p" "q" "r" "u" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "p" "q" "r" "u" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "p" "q" "r" "u" 4; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" "z" 5; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "d" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "d" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "d" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "d" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "d" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "d" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "d" "j" "o" 5; "b" "q" 5; "c" "b" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "d" "j" "o" 5; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "d" "j" "o" 5; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "d" "j" "o" 5; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "w" 5;
"a" "d" "j" "o" 5; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" "j" "o" 5; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "b" "d" "j" "o" 5; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "b" "d" "j" "o" 5; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "b" "d" "j" "o" 5; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
"a" "d" 6; "b" "q" "r" 5; "c" "b" "h" 5; "d" "a" 6; "e" "d" "g" "q" "w" 5;
