none
none
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1;
"c" "y" 1; "e" "t" 1;
"c" "y" 1; "e" "t" 1;
"c" "y" 1; "e" "t" 1;
"c" "y" 1; "e" "t" 1;
"c" "y" 1; "e" "t" 1;
"c" "y" 1; "e" "t" 1;
"c" "e" "f" "y" 1; "e" "t" 1;
"c" "e" "f" "y" 1; "e" "t" 1;
"c" "e" "f" "y" 1; "e" "t" 1;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"c" "f" 2; "d" "h" 1; "e" "t" 2;
"a" "h" 1; "c" "f" 2; "d" "h" 1; "e" "t" 2;
"a" "h" 1; "c" "f" 2; "d" "h" 1; "e" "t" 2;
"a" "h" 1; "c" "f" 2; "d" "h" "m" 1; "e" "t" 2;
"a" "h" "q" 1; "c" "f" 2; "d" "h" "m" "t" 1; "e" "t" 2;
"a" "h" "q" 1; "c" "f" 2; "d" "h" "m" "t" 1; "e" "t" 2;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" "s" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" "s" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" "s" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" "s" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" "s" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" "s" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" "s" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" "s" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" "s" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" "s" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "f" "g" "h" "i" "r" "s" 3; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "g" 4; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "g" 4; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "g" 4; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" 4; "c" "g" 4; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "g" 4; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "g" 4; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "g" 4; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "g" 4; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "g" 4; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "g" "s" 4; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "g" "s" 4; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "g" "s" "u" 4; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "u" 5; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "u" 5; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "u" 5; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "u" 6; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "u" 6; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "u" 6; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "u" 6; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "u" 6; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "u" 6; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "u" 6; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "u" 6; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "u" 6; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "u" 6; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "e" "f" 4; "c" "u" 6; "d" "m" 4; "e" "o" "q" 4;
"a" "x" 5; "b" "f" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "g" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "g" "u" 6; "d" "m" 4; "e" "a" "o" "q" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "g" "u" 6; "d" "m" 4; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 4; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 4; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 4; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "f" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" "y" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" "y" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" "y" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" "y" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" "y" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" "y" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" "y" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" "y" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" "y" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" "y" 5; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "y" 6; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "y" 6; "b" "e" "u" 5; "c" "g" "u" 6; "d" "h" 5; "e" "a" "o" "q" "w" 4;
"a" "x" "y" 6; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "w" 4;
"a" "x" "y" 6; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "w" 4;
"a" "x" "y" 6; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "w" 4;
"a" "x" "y" 6; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "w" 4;
"a" "x" "y" 6; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "w" 4;
"a" "x" "y" 6; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "w" 4;
"a" "x" "y" 6; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "w" 4;
"a" "x" "y" 6; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "w" 4;
"a" "x" "y" 6; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "w" 4;
"a" "x" "y" 6; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "w" 4;
"a" "x" "y" 6; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "w" 4;
"a" "x" "y" 6; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "w" 4;
"a" "x" "y" 6; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "w" 4;
"a" "x" "y" 6; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" "u" 6; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "h" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "h" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "h" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "h" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "h" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "h" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "h" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "h" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "h" "u" 5; "c" "g" 7; "d" "h" "m" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" 7; "b" "e" "f" "h" "u" 5; "c" "g" 7; "d" "h" 5; "e" "a" "o" "q" "s" "t" "w" 4;
"a" "x" "y" 7; "b" "e" "f" "h" "u" 5; "c" "g" 7; "d" "h" 5; "e" "a" "o" "q" "s" "t" "w" 4;
