none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "i" 1;
"d" "i" 1;
"d" "i" 1;
"b" "r" 1; "d" "i" 1;
"b" "r" 1; "c" "q" 1; "d" "i" 1;
"b" "r" 1; "c" "q" 1; "d" "i" 1;
"a" "h" "r" 1; "b" "r" 1; "c" "q" 1; "d" "i" 1;
"a" "c" "f" "j" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" "f" "j" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" "f" "j" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" "f" "j" "n" "q" 3; "b" "l" "m" "s" "x" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" "f" "j" "n" "q" 3; "b" "l" "m" "q" "s" "x" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" "f" "j" "n" "q" 3; "b" "l" "m" "q" "s" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" "f" "j" "n" "q" 3; "b" "l" "m" "q" "s" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" "f" "j" "n" "q" 3; "b" "l" "m" "n" "q" "s" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" "m" "n" "q" "s" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" "m" "n" "q" "s" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "n" "q" "s" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "n" "q" "s" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "n" "q" "s" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "n" "q" "s" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "n" "q" "s" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "n" "q" "s" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "n" "q" "s" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "n" "q" "s" 3; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "s" 4; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "s" 4; "c" "p" 4; "d" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 4; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 5; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "m" "s" 4; "c" "p" 5; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" "m" "s" 4; "c" "p" 5; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" "m" "s" 4; "c" "p" 5; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" "m" "s" 4; "c" "p" 5; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" "m" "s" 4; "c" "p" 5; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" "m" "s" 4; "c" "p" 5; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" "m" "s" 4; "c" "p" 5; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "s" 4; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "s" 4; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "s" 4; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "s" 4; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "s" 4; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "s" 4; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "g" "l" "m" "s" 4; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "h" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "h" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "h" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "h" "l" "n" 4; "e" "s" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "h" "l" "n" 4; "e" "s" "y" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "h" "l" "n" "p" 4; "e" "s" "y" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "h" "l" "n" "p" 4; "e" "s" "y" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "h" "l" "n" "p" 4; "e" "s" "y" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "g" "h" "l" "n" "p" 4; "e" "s" "y" 4;
"a" "c" 4; "b" "l" 5; "c" "p" 6; "d" "l" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "l" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "l" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "l" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "l" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "l" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "l" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "l" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" "y" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "y" 4;
"a" "c" "q" "y" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "c" "q" "y" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "c" "q" "u" "y" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "c" "q" "u" "y" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "c" "q" "u" "y" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "c" "q" "u" "y" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "c" "q" "u" "y" 4; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "y" 5; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "y" 5; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "y" 5; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "y" 5; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "y" 5; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "y" 5; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "y" 5; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "y" 5; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "y" 5; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "y" 5; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "y" 4;
"a" "y" 5; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "x" "y" 4;
"a" "y" 5; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "x" "y" 4;
"a" "y" 5; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "x" "y" 4;
"a" "y" 5; "b" "l" "m" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "s" "t" "x" "y" 4;
"a" "y" 5; "b" "l" "m" "s" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "i" "s" "t" "x" "y" 4;
"a" "y" 6; "b" "l" "m" "s" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "i" "s" "t" "x" "y" 4;
"a" "y" 6; "b" "l" "m" "s" 5; "c" "p" 6; "d" "g" "l" "n" 5; "e" "i" "s" "t" "x" "y" 4;
"a" "y" 6; "b" "l" 6; "c" "p" 6; "d" "g" "l" "n" 5; "e" "i" "s" "t" "x" "y" 4;
"a" "y" 6; "b" "l" 6; "c" "p" 6; "d" "g" "l" "n" 5; "e" "i" "s" "t" "x" "y" 4;
"a" "y" 6; "b" "l" 6; "c" "p" 6; "d" "g" "l" "n" 5; "e" "i" "s" "t" "x" "y" 4;
