none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "m" 1;
"a" "m" 1; "b" "n" 1;
"a" "m" 1; "b" "n" 1;
"a" "m" 1; "b" "n" "v" 1;
"a" "m" 1; "b" "n" "v" 1;
"a" "m" 1; "b" "n" "v" 1; "c" "c" 1;
"a" "m" 1; "b" "n" "v" 1; "c" "c" 1;
"a" "m" 1; "b" "n" "v" 1; "c" "c" 1;
"a" "m" 1; "b" "n" "v" 1; "c" "c" 1;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 1;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 1;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 1;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2; "e" "g" 1;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2; "e" "g" 1;
"a" "m" 1; "b" "k" "m" "n" "v" 1; "c" "c" 2; "e" "g" 1;
"a" "m" 1; "b" "k" "m" "n" "v" 1; "c" "c" 2; "e" "g" 1;
"a" "m" 1; "b" "k" "m" "n" "v" 1; "c" "c" 2; "e" "g" 1;
"a" "m" 1; "b" "k" "m" "n" "v" 1; "c" "c" 2; "e" "g" 1;
"a" "m" 1; "b" "k" "m" "n" "v" 1; "c" "c" 2; "e" "g" 1;
"a" "m" 1; "b" "k" "m" "n" "v" 1; "c" "c" 3; "e" "g" 1;
"a" "m" 1; "b" "k" "m" "n" "v" 1; "c" "c" 3; "e" "g" 1;
"a" "b" "h" "i" "q" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "c" "j" "q" 4; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "r" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "r" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "r" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "r" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "r" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "r" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "r" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "r" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "r" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "r" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "r" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "r" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "r" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "h" "i" "q" "r" "t" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" "k" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" "k" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "e" "g" "h" "k" "m" 4;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "m" 5;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "m" 5;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "m" 5;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "m" 5;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "g" "m" 5;
"a" "b" "d" "h" "i" "q" "r" "t" "x" "z" 3; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "g" "m" 5;
"a" "r" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "g" "m" 5;
"a" "r" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "g" "m" 5;
"a" "r" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "g" "m" 5;
"a" "r" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" "q" 5; "e" "g" "m" 5;
"a" "r" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "g" "m" 5;
"a" "r" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "g" "m" 5;
"a" "r" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" 5;
"a" "r" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" 5;
"a" "r" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" 5;
"a" "r" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" 5;
"a" "r" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" 5;
"a" "r" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" 5;
"a" "r" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" 5;
"a" "r" "t" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" 5;
"a" "h" "r" "t" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" 5;
"a" "h" "r" "t" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" 5;
"a" "h" "r" "t" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" 5;
"a" "h" "r" "t" 4; "b" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "h" "r" "t" 4; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" "p" "s" 3; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" "x" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "r" 5; "b" "f" "t" 5; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "r" 5; "b" "f" 6; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "q" "r" 5; "b" "f" 6; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "q" "r" 5; "b" "f" 6; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "q" "r" 5; "b" "f" 6; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "q" "r" 5; "b" "f" 6; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "q" "r" 5; "b" "f" 6; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "q" "r" 5; "b" "f" 6; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "q" "r" 5; "b" "f" 6; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "q" "r" 5; "b" "f" 6; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "q" "r" 5; "b" "f" 6; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "q" "r" 5; "b" "f" 6; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
"a" "h" "q" "r" 5; "b" "f" 6; "c" "m" 4; "d" "j" 6; "e" "e" "g" "m" 5;
