none
none
none
none
none
none
none
none
none
none
none
none
"b" "q" 1;
"a" "l" 1; "b" "q" 1;
"a" "l" 1; "b" "q" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "q" 1; "c" "z" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "e" "k" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "e" "k" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "e" "k" 1;
"a" "l" 1; "b" "p" "q" 1; "c" "e" "f" "z" 1; "e" "k" 1;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "f" "m" "t" "v" 3; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "f" "m" "t" "v" 3; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "e" "g" "k" "u" "w" "x" "y" 3; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "e" "g" "k" "l" "u" "w" "x" "y" 3; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "e" "g" "k" "l" "u" "w" "x" "y" 3; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "e" "g" "k" "l" "u" "w" "x" "y" 3; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "x" 4; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "x" 4; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "x" 4; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "x" 4; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "x" 4; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "x" 4; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "x" 4; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "x" 4; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "x" 4; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "x" 4; "b" "m" 4; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "x" 4; "b" "m" 5; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "x" 4; "b" "m" 5; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "x" 4; "b" "m" 5; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "h" "x" 4; "b" "m" 5; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "h" "x" 4; "b" "m" 5; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "h" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "h" "l" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "h" "l" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "h" "l" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "h" "l" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "h" "l" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "h" "l" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" "n" 4;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" 5;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" 5;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" 5;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 5; "d" "e" 4; "e" "e" 5;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 6; "d" "e" 4; "e" "e" 5;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 6; "d" "e" 4; "e" "e" 5;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 6; "d" "e" "z" 4; "e" "e" 5;
"a" "h" "l" "w" "x" 4; "b" "m" 6; "c" "g" 6; "d" "e" "z" 4; "e" "e" 5;
"a" "h" "k" "l" "w" "x" 4; "b" "m" 6; "c" "g" 6; "d" "e" "z" 4; "e" "e" 5;
"a" "h" "k" "l" "w" "x" 4; "b" "m" 6; "c" "g" 6; "d" "e" "z" 4; "e" "e" 5;
"a" "h" "k" "l" "w" "x" 4; "b" "m" 6; "c" "g" 6; "d" "e" "z" 4; "e" "e" 5;
"a" "h" "k" "l" "w" "x" 4; "b" "m" 6; "c" "g" 6; "d" "e" "z" 4; "e" "e" 5;
"a" "h" "k" "l" "w" "x" 4; "b" "m" 6; "c" "g" 6; "d" "e" "z" 4; "e" "e" 5;
"a" "h" "k" "l" "w" "x" 4; "b" "m" 6; "c" "g" 6; "d" "e" "z" 4; "e" "e" 5;
"a" "h" "k" "l" "w" "x" 4; "b" "m" 6; "c" "g" 6; "d" "e" "z" 4; "e" "e" 5;
"a" "l" 5; "b" "m" 6; "c" "g" 6; "d" "e" "z" 4; "e" "e" 5;
"a" "l" 5; "b" "m" 6; "c" "g" 6; "d" "e" "z" 4; "e" "e" 5;
"a" "l" 5; "b" "m" 6; "c" "g" 6; "d" "e" "z" 4; "e" "e" 5;
"a" "l" 5; "b" "m" 6; "c" "g" 6; "d" "e" "z" 4; "e" "e" 5;
"a" "l" 5; "b" "m" 6; "c" "g" 6; "d" "e" "z" 4; "e" "e" 5;
"a" "l" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "l" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "l" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" "l" "x" 5; "b" "m" 6; "c" "g" 6; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 7; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 7; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 7; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 7; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 7; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 5; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 6; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
"a" "k" 7; "b" "m" 6; "c" "g" 8; "d" "z" 6; "e" "e" 5;
