none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "b" 1;
"a" "u" 1; "d" "b" 1;
"a" "u" 1; "d" "b" "c" 1;
"a" "u" 1; "d" "b" "c" 1; "e" "i" 1;
"a" "u" 1; "d" "b" "c" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "c" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "c" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "f" "j" "k" "u" 3; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "d" "e" "o" "s" 3; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 5; "e" "h" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "h" "k" "l" 4;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 5;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 5;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 5;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 5;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 5;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 5;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 5;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 5;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 4; "b" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 4; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 4; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 4; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 4; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 4; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 4; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 4; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 4; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 4; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" "j" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" "s" 4; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "f" "l" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "f" "l" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "f" "l" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "f" "l" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "f" "l" "x" 4; "d" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "f" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "f" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "f" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "f" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "f" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "e" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "e" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "e" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
"a" "f" 5; "b" "e" 5; "c" "e" "l" "x" 4; "d" "b" "l" 6; "e" "k" 6;
