none
none
none
none
none
none
none
none
"a" "k" 1;
"a" "k" 1;
"a" "k" 1; "e" "a" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "k" 1; "e" "a" "f" 1;
"a" "e" "k" 1; "e" "a" "f" 1;
"a" "e" "k" 1; "e" "a" "f" 1;
"a" "e" "k" 1; "e" "a" "f" 1;
"a" "e" "k" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "b" "n" "q" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "e" "k" 1; "b" "n" "q" 1; "d" "d" "q" 1; "e" "a" "f" "j" 1;
"a" "e" 4; "b" "g" "i" "l" "n" "q" 3; "c" "n" 3; "d" "a" "h" "j" "w" 3; "e" "h" "x" 4;
"a" "e" 4; "b" "g" "i" "l" "n" "q" 3; "c" "n" 3; "d" "a" "h" "j" "w" 3; "e" "h" "x" 4;
"a" "e" 4; "b" "g" "i" "l" "n" "q" 3; "c" "n" 3; "d" "a" "h" "j" "w" "z" 3; "e" "h" "x" 4;
"a" "e" 4; "b" "g" "i" "l" "n" "q" 3; "c" "n" 3; "d" "w" 4; "e" "h" "x" 4;
"a" "e" 4; "b" "g" "i" "l" "n" "q" 3; "c" "n" 3; "d" "w" 4; "e" "h" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "q" 4; "c" "n" 3; "d" "a" "w" 4; "e" "h" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "q" 4; "c" "n" 3; "d" "a" "w" 4; "e" "h" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "q" 4; "c" "n" 3; "d" "a" "w" 4; "e" "h" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "q" 4; "c" "n" 3; "d" "a" "w" 4; "e" "h" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "q" 4; "c" "n" 3; "d" "a" "w" 4; "e" "h" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "q" 4; "c" "n" 3; "d" "a" "w" 4; "e" "h" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "q" 4; "c" "n" 3; "d" "a" "w" 4; "e" "h" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "q" 4; "c" "n" 3; "d" "a" "w" 4; "e" "h" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "q" 4; "c" "n" 3; "d" "a" "w" 4; "e" "h" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "q" 4; "c" "n" 3; "d" "a" "w" 4; "e" "h" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "g" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "g" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "g" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "g" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "g" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "e" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "h" "w" 4; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "i" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "i" "v" 3; "b" "g" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" "w" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" "w" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "n" "q" 4; "c" "c" "n" "p" "q" "w" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "l" "n" "q" 4; "c" "c" "n" "p" "q" "w" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "l" "n" "q" 4; "c" "c" "n" "p" "q" "w" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "l" "n" "q" 4; "c" "c" "n" "p" "q" "w" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "l" "n" "q" 4; "c" "c" "n" "p" "q" "w" 3; "d" "a" "d" 5; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "l" "n" "q" 4; "c" "c" "n" "p" "q" "w" 3; "d" "d" 6; "e" "h" "v" "w" "x" 4;
"a" "f" "g" "i" "m" "v" 3; "b" "g" "l" "n" "q" 4; "c" "c" "n" "p" "q" "w" 3; "d" "d" 6; "e" "h" "v" "w" "x" 4;
"a" "c" "f" "g" "i" "m" "v" 3; "b" "g" "l" "n" "q" 4; "c" "c" "n" "p" "q" "w" 3; "d" "d" 6; "e" "h" "v" "w" "x" 4;
"a" "c" "f" "g" "i" "m" "v" 3; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "c" "f" "g" "i" "m" "v" 3; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "c" "f" "g" "i" "m" "v" 3; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "c" "f" "g" "i" "m" "v" 3; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "c" "f" "g" "i" "m" "v" 3; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "c" "f" "g" "i" "m" "v" 3; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "n" "p" "q" "w" "z" 3; "d" "d" 6; "e" "a" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "h" "q" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" "k" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" "k" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" "k" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" "k" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" "k" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" "k" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" "k" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" "k" "w" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" "k" "w" 4; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" "l" "n" "q" 4; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
"a" "i" 5; "b" "g" 5; "c" "p" 4; "d" "d" 6; "e" "a" "f" "h" "q" "v" "w" "x" 4;
