none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1; "e" "w" 1;
"b" "p" 1; "e" "w" 1;
"b" "p" 1; "e" "w" 1;
"b" "p" 1; "e" "w" 1;
"b" "p" 1; "e" "u" "w" 1;
"b" "p" 1; "e" "u" "w" 1;
"b" "p" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" 2;
"b" "p" 1; "d" "o" 1; "e" "u" 2;
"b" "p" 1; "d" "o" 1; "e" "u" 2;
"b" "p" 1; "d" "o" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "g" "p" 1; "c" "k" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "g" "p" 1; "c" "k" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "g" "p" "z" 1; "c" "g" "k" 1; "d" "c" "o" "s" 1; "e" "u" 2;
"b" "g" "p" "z" 1; "c" "k" 2; "d" "c" "o" "s" 1; "e" "u" 2;
"b" "g" "p" "z" 1; "c" "k" 2; "d" "c" "o" "s" 1; "e" "u" 2;
"b" "g" "p" "z" 1; "c" "k" 2; "d" "c" "o" "s" 1; "e" "u" 2;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" "z" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" "z" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" "z" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" "z" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" "z" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" "z" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" "z" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" "z" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" "z" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" "z" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "o" "z" 5;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "n" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "n" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "n" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "n" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "n" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "n" "u" 4; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "n" 5; "b" "c" "z" 4; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "n" 5; "b" "c" "z" 4; "c" "y" 5; "d" "c" "g" "i" "o" 4; "e" "z" 6;
"a" "n" 5; "b" "c" "z" 4; "c" "y" 5; "d" "c" "g" "i" "o" 4; "e" "z" 6;
"a" "n" 5; "b" "c" "z" 4; "c" "y" 5; "d" "c" "g" "i" "o" 4; "e" "z" 6;
"a" "n" 5; "b" "c" "z" 4; "c" "y" 5; "d" "c" "g" "i" "o" 4; "e" "z" 6;
"a" "n" 5; "b" "c" "z" 4; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 5; "b" "c" "z" 4; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 5; "b" "c" "z" 4; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 5; "b" "c" "z" 4; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 5; "b" "c" "z" 4; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 5; "b" "c" "z" 4; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 5; "b" "c" "r" "z" 4; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 5; "b" "c" "r" "z" 4; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 5; "b" "r" 5; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 5; "b" "r" 5; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 5; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 5; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "i" "o" "x" 4; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "i" "l" "o" "x" 4; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "i" "l" "o" "x" 4; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "i" "l" "o" "x" 4; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "l" 5; "e" "z" 6;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "c" "r" 5; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "r" 6; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "r" 6; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "r" 6; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "r" 7; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "r" 7; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "r" 7; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "r" 7; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "r" 7; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "r" 7; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
"a" "n" 6; "b" "r" 7; "c" "y" 5; "d" "c" "g" "l" 5; "e" "z" 7;
