none
none
none
none
none
none
none
none
none
none
none
none
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1;
"a" "v" "x" 1; "b" "u" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" 1; "d" "g" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" "v" 1; "d" "g" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" "v" 1; "d" "g" "s" 1;
"a" "v" "x" 1; "b" "u" 2; "c" "h" "v" 1; "d" "g" "s" 1;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "n" "u" "y" 4; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "i" "x" 3; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "x" 4; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "x" 4; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "d" "e" "g" "l" "t" "u" "z" 3;
"a" "x" 4; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 4;
"a" "x" 4; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 4;
"a" "x" 4; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 4;
"a" "x" 4; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 4;
"a" "x" 4; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 4;
"a" "x" 4; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 5;
"a" "x" 4; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 5;
"a" "x" 4; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 4; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 4; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 4; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "v" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "v" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "v" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "v" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "v" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "t" "v" "x" 4; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 5; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "n" "w" 4; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "w" 5; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "u" 6; "c" "w" 5; "d" "v" 5; "e" "g" 6;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" "y" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" "y" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" "y" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" "y" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" "y" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" "y" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" "y" 5; "e" "g" 7;
"a" "x" 5; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" "y" 5; "e" "g" 7;
"a" "x" 6; "b" "b" "l" "u" 6; "c" "w" 5; "d" "v" "y" 5; "e" "g" 7;
"a" "x" 6; "b" "l" 7; "c" "w" 5; "d" "v" "y" 5; "e" "g" 7;
"a" "x" 6; "b" "l" 7; "c" "w" 5; "d" "v" "y" 5; "e" "g" 7;
"a" "x" 6; "b" "l" 7; "c" "w" 5; "d" "v" "y" 5; "e" "g" 7;
"a" "x" 6; "b" "l" 7; "c" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 6; "b" "l" 7; "c" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 6; "b" "l" 7; "c" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 6; "b" "l" 7; "c" "k" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 6; "b" "l" 7; "c" "k" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 6; "b" "l" 7; "c" "k" "w" 5; "d" "v" 5; "e" "g" 7;
"a" "x" 6; "b" "l" 7; "c" "k" "w" 5; "d" "v" 5; "e" "g" 7;
