none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1;
"b" "w" 1; "d" "i" 1;
"a" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "q" "y" 1; "b" "w" 1; "d" "i" 1; "e" "s" 1;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" "u" "z" 4; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" 4; "e" "a" "f" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "a" "f" "k" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "a" "f" "k" 4;
"a" "g" "l" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 5;
"a" "g" "l" "n" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 5;
"a" "g" "l" "n" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 5;
"a" "g" "l" "n" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 5;
"a" "g" "l" "n" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 5;
"a" "g" "l" "n" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 5;
"a" "g" "l" "n" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 5;
"a" "g" "l" "n" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 5;
"a" "g" "l" "n" 4; "b" "h" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 6;
"a" "n" 5; "b" "h" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 6;
"a" "n" 5; "b" "h" "v" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 6;
"a" "n" 5; "b" "h" "v" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 6;
"a" "n" 5; "b" "h" "v" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 6;
"a" "n" 5; "b" "h" "v" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 6;
"a" "n" 5; "b" "h" "v" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 6;
"a" "n" 5; "b" "h" "v" 7; "c" "r" 5; "d" "b" "k" "q" 4; "e" "k" 6;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "z" 5; "d" "b" "k" "q" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "z" 5; "d" "b" "k" "q" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "z" 5; "d" "b" "k" "q" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "z" 5; "d" "b" "k" "q" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "z" 5; "d" "b" "k" "q" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "z" 5; "d" "b" "k" "q" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "z" 5; "d" "b" "k" "q" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" "v" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "b" "k" "q" "z" 4; "e" "k" 7;
"a" "n" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "b" "j" "k" "q" "z" 4; "e" "k" 7;
"a" "g" "n" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "b" "j" "k" "q" "z" 4; "e" "k" 7;
"a" "g" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "z" 5; "e" "k" 7;
"a" "g" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "z" 5; "e" "k" 7;
"a" "g" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "z" 5; "e" "k" 7;
"a" "g" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "z" 5; "e" "k" 7;
"a" "g" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "z" 5; "e" "k" 7;
"a" "g" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "z" 5; "e" "k" 7;
"a" "g" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "z" 5; "e" "k" 7;
"a" "g" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "z" 5; "e" "k" 7;
"a" "g" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "z" 5; "e" "k" 7;
"a" "g" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "z" 5; "e" "k" 7;
"a" "g" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "z" 5; "e" "k" 7;
"a" "g" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "z" 5; "e" "k" 7;
"a" "g" 5; "b" "h" 7; "c" "r" "u" "z" 5; "d" "z" 5; "e" "k" 7;
