none
none
none
none
none
none
none
none
none
"b" "k" 1; "d" "g" 1;
"b" "k" 1; "d" "g" 1;
"b" "k" 1; "d" "g" 1;
"a" "b" 1; "b" "k" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "b" "k" "x" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "b" "k" "x" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "b" "k" "x" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "b" "k" "x" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "b" "k" "x" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "b" "k" "x" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "b" "k" "x" 1; "d" "g" 1;
"a" "b" "d" "n" 1; "b" "k" 2; "d" "g" 1;
"a" "n" 2; "b" "k" 2; "d" "g" 1; "e" "x" 1;
"a" "n" 2; "b" "k" 2; "d" "g" 1; "e" "x" 1;
"a" "n" 3; "b" "k" 2; "d" "g" 1; "e" "x" 1;
"a" "n" 3; "b" "k" 2; "d" "g" 1; "e" "x" 1;
"a" "n" 3; "b" "k" 2; "d" "g" 1; "e" "x" 1;
"a" "b" "f" "i" "n" 3; "b" "a" "d" "k" 3; "c" "n" 5; "d" "g" "m" "t" "w" "x" "y" 3; "e" "g" "s" "w" 4;
"a" "b" "f" "i" "n" 3; "b" "a" "d" "k" 3; "c" "n" 5; "d" "g" "m" "t" "w" "x" "y" 3; "e" "g" "s" "w" 4;
"a" "b" "f" "i" "n" 3; "b" "a" "d" "k" 3; "c" "n" 5; "d" "g" "m" "t" "w" "x" "y" 3; "e" "g" "s" "w" 4;
"a" "b" "f" "i" "n" 3; "b" "a" "d" "k" 3; "c" "n" 5; "d" "g" "m" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "b" "f" "i" "n" 3; "b" "a" "d" "k" 3; "c" "n" 5; "d" "g" "m" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "b" "f" "i" "n" 3; "b" "a" "d" "k" 3; "c" "n" 5; "d" "g" "m" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "b" "i" "n" 3; "b" "a" "d" "k" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "b" "i" "n" 3; "b" "a" "d" "k" "m" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "b" "i" "n" 3; "b" "a" "d" "k" "m" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "b" "i" "n" 3; "b" "a" "d" "k" "m" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" "u" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" "u" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" "u" 3; "c" "n" 5; "d" "g" "m" "q" "t" "w" "x" "y" 3; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" "u" 3; "c" "n" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" "u" 3; "c" "n" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" "u" 3; "c" "n" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" "u" 3; "c" "n" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" "u" 3; "c" "n" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "k" "m" "u" 3; "c" "n" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "e" "k" "m" "u" 3; "c" "n" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "e" "k" "m" "u" 3; "c" "n" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "e" "k" "m" "u" 3; "c" "n" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "e" "k" "m" "u" 3; "c" "n" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "a" "b" "d" "e" "k" "m" "u" 3; "c" "n" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "e" 4; "c" "n" "z" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "e" 4; "c" "n" "z" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "e" 4; "c" "n" "z" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "e" 4; "c" "n" "z" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "e" 4; "c" "n" "z" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "e" 4; "c" "n" "z" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "e" 4; "c" "n" "z" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "e" 4; "c" "n" "z" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "e" 4; "c" "n" "z" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "e" 4; "c" "n" "z" 5; "d" "m" 4; "e" "s" 5;
"a" "i" 4; "b" "e" 4; "c" "a" "n" "z" 5; "d" "m" 5; "e" "s" 5;
"a" "f" "i" 4; "b" "e" 4; "c" "a" "n" "z" 5; "d" "m" 5; "e" "s" 5;
"a" "f" "i" 4; "b" "e" 4; "c" "a" "n" "z" 5; "d" "m" 5; "e" "s" 5;
"a" "f" "i" 4; "b" "e" "u" 4; "c" "a" "n" "z" 5; "d" "m" 5; "e" "s" 5;
"a" "f" "i" 4; "b" "e" "u" 4; "c" "a" "n" "z" 5; "d" "m" 5; "e" "s" 5;
"a" "f" "i" 4; "b" "e" "u" 4; "c" "a" "n" "z" 5; "d" "m" 5; "e" "s" 5;
"a" "f" "i" 4; "b" "a" "e" "u" 4; "c" "a" "n" "z" 5; "d" "m" 5; "e" "s" 5;
"a" "f" "i" 4; "b" "a" "e" "u" 4; "c" "a" "n" "z" 5; "d" "m" 5; "e" "s" 5;
"a" "f" "i" 4; "b" "a" "e" "u" 4; "c" "a" "n" "z" 5; "d" "m" 5; "e" "s" 5;
"a" "f" "i" 4; "b" "a" "e" "u" 4; "c" "a" "n" "z" 5; "d" "m" 6; "e" "s" 5;
"a" "f" "i" 4; "b" "a" "e" "u" 4; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "f" "i" 4; "b" "a" "e" "u" 4; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "f" "i" 4; "b" "a" "e" "u" 4; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "f" "i" 4; "b" "a" "e" "u" 4; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "f" "i" 4; "b" "a" "e" "u" 4; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "f" "i" 4; "b" "a" "e" "u" 4; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "f" "i" 4; "b" "a" "e" "u" 4; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "f" "i" 4; "b" "a" "e" "u" 4; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "f" "i" 4; "b" "a" "e" "u" 4; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "a" "e" "u" 4; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "a" "e" "u" 4; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "a" "e" "u" 4; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "a" "e" "u" 4; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "a" "e" "u" 4; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "z" 6; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "z" 6; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" "e" "n" "z" 5; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" 6; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" 6; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" 6; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" 6; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" 6; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" 6; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" 6; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" 6; "d" "m" 7; "e" "r" "s" 5;
"a" "i" 5; "b" "e" 5; "c" "a" 6; "d" "m" 7; "e" "r" "s" 5;
"a" "g" "i" 5; "b" "a" "e" 5; "c" "a" 6; "d" "m" 7; "e" "b" "r" "s" 5;
"a" "g" 6; "b" "a" "e" 5; "c" "a" 6; "d" "m" 7; "e" "b" "r" "s" 5;
"a" "g" 6; "b" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" "r" "s" 5;
"a" "g" 6; "b" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" "r" "s" 5;
"a" "g" 6; "b" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" "r" "s" 5;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" "r" "s" 5;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" "r" "s" 5;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" "r" "s" 5;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 6;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 6;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 6;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 6;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
"a" "g" 6; "b" "a" "e" 6; "c" "a" 6; "d" "m" 7; "e" "b" 7;
