none
none
none
none
none
none
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "q" "v" 1;
"d" "q" "v" 1;
"d" "q" "v" 1; "e" "e" 1;
"d" "q" "v" 1; "e" "e" 1;
"c" "b" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "a" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "a" "b" "h" 1; "d" "m" "q" "v" 1; "e" "b" "e" 1;
"c" "a" "b" "h" 1; "d" "m" "q" "v" 1; "e" "b" "e" 1;
"c" "h" 2; "d" "j" "m" "q" "v" 1; "e" "b" "e" 1;
"b" "c" 1; "c" "h" 2; "d" "j" "m" "n" "q" "v" 1; "e" "b" "e" 1;
"b" "c" 1; "c" "h" 2; "d" "j" "m" "n" "q" "v" 1; "e" "b" "e" 1;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "q" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "k" "m" "q" "t" "y" 3; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "t" 4; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "t" 4; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "t" 4; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "t" 4; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "t" 4; "b" "h" 4; "c" "n" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" "t" 4; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "h" "n" "t" 4; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "l" "n" "q" 5; "e" "b" "d" "j" "n" "q" "s" 3;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "c" "d" "i" "t" 4; "b" "h" 4; "c" "i" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "h" "k" "l" "n" "q" 5; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" "n" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" "n" 4;
"a" "d" 5; "b" "h" 4; "c" "i" "n" "z" 5; "d" "n" 6; "e" "j" "n" 4;
