none
none
none
none
none
none
none
none
"b" "r" 1;
"b" "r" 1; "c" "s" 1;
"b" "r" 1; "c" "s" 1;
"b" "b" "r" 1; "c" "s" 1;
"b" "b" "r" 1; "c" "s" 1;
"a" "v" 1; "b" "b" "r" 1; "c" "s" 1;
"a" "v" 1; "b" "b" "r" "z" 1; "c" "s" 1;
"a" "j" "v" 1; "b" "b" "r" "z" 1; "c" "s" 1;
"a" "j" "v" 1; "b" "b" "r" "z" 1; "c" "s" 1; "e" "j" 1;
"a" "j" "v" 1; "b" "b" 2; "c" "s" 1; "e" "j" 1;
"a" "j" "v" 1; "b" "b" 2; "c" "s" 1; "e" "j" 1;
"a" "j" "v" 1; "b" "b" 2; "c" "s" 1; "e" "j" 1;
"a" "j" "v" 1; "b" "b" 2; "c" "s" 1; "e" "j" 1;
"a" "j" "v" 1; "b" "b" 2; "c" "s" 1; "e" "j" 1;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" "w" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" "w" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" "w" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" "w" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" "w" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" "w" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" "w" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" "w" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" "w" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" "w" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "b" "f" "j" "o" "p" "u" "w" 3; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" "x" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" "x" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" "x" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" "x" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" "x" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" "x" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" "x" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" "x" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" "x" 4;
"a" "u" 4; "b" "a" "j" 4; "c" "u" 5; "d" "r" 5; "e" "p" "x" 4;
"a" "u" 4; "b" "a" "j" "w" 4; "c" "u" 5; "d" "r" 5; "e" "p" "x" 4;
"a" "u" 4; "b" "a" "j" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "b" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "b" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "b" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "b" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "b" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" "b" "j" "o" "w" 4; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "u" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "c" "u" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "c" "u" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "c" "u" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "c" "u" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "c" "u" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "c" "u" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 5;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" "y" 5;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" "y" 5;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" "y" 5;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" "y" 5;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" "y" 5;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" "y" 5;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" "b" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" "b" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" "b" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" "b" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" "b" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" "b" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "c" "u" "y" 4; "b" "a" "b" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "u" 5; "b" "a" "b" 5; "c" "u" 5; "d" "r" 5; "e" "x" 6;
"a" "u" "y" 5; "b" "a" "b" 5; "c" "u" 5; "d" "r" "z" 5; "e" "x" 6;
"a" "u" "y" 5; "b" "a" "b" 5; "c" "u" 5; "d" "r" "z" 5; "e" "x" 6;
"a" "u" "y" 5; "b" "a" "b" 5; "c" "u" 5; "d" "r" "z" 5; "e" "x" 6;
"a" "u" "y" 5; "b" "a" "b" 5; "c" "u" 5; "d" "r" "z" 5; "e" "x" 6;
"a" "u" "y" 5; "b" "a" "b" 5; "c" "u" 5; "d" "r" "z" 5; "e" "x" 6;
"a" "u" "y" 5; "b" "a" "b" 5; "c" "u" 5; "d" "r" "z" 5; "e" "x" 6;
"a" "u" "y" 5; "b" "a" "b" 5; "c" "u" 5; "d" "r" "z" 5; "e" "x" 6;
"a" "u" "y" 5; "b" "a" "b" 5; "c" "u" 5; "d" "r" "z" 5; "e" "x" 6;
"a" "u" "y" 5; "b" "a" "b" 5; "c" "u" 5; "d" "r" "z" 5; "e" "x" 6;
"a" "u" "y" 5; "b" "a" "b" 5; "c" "u" 5; "d" "p" "r" "z" 5; "e" "x" 6;
"a" "u" "y" 5; "b" "a" "b" "w" 5; "c" "u" 5; "d" "p" "r" "z" 5; "e" "x" 6;
"a" "u" "y" 5; "b" "a" "b" "w" 5; "c" "u" 5; "d" "p" "r" "z" 5; "e" "x" 6;
