none
none
none
none
none
none
none
none
none
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"a" "c" 1; "b" "e" "p" 1; "c" "p" 2; "e" "t" 1;
"a" "c" "i" 1; "b" "e" "p" 1; "c" "p" 2; "e" "t" 1;
"a" "c" "i" 1; "b" "e" "p" 1; "c" "p" 2; "e" "t" 1;
"a" "c" "i" 1; "b" "e" "p" 1; "c" "p" 2; "e" "f" "t" 1;
"a" "q" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "c" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "q" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "c" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "q" "r" 4; "b" "t" 4; "c" "p" 4; "d" "a" "c" "e" "i" "l" "r" "t" 2; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 4; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 4; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 4; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 4; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 4; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 4; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 4; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 4; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "k" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "n" "q" "r" 4; "b" "t" 5; "c" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "q" 5; "b" "t" 5; "c" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "q" 5; "b" "t" 5; "c" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "q" 5; "b" "t" 5; "c" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "q" 5; "b" "t" 5; "c" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "q" 5; "b" "t" 5; "c" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "q" 5; "b" "t" 5; "c" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "q" 5; "b" "t" 5; "c" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "q" 5; "b" "t" 5; "c" "p" 4; "d" "l" "r" 3; "e" "r" 6;
"a" "q" 5; "b" "t" 5; "c" "p" 4; "d" "l" "r" "t" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "b" "j" "k" "p" "v" 3; "d" "l" "r" "t" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "b" "j" "k" "p" "v" 3; "d" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "b" "j" "k" "p" "v" 3; "d" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "b" "j" "k" "p" "v" 3; "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "b" "j" "k" "p" "v" 3; "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "b" "j" "k" "p" "v" 3; "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "b" "j" "k" "p" "v" 3; "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "b" "j" "k" "p" "v" 3; "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "b" "j" "k" "p" "v" 3; "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "b" "j" "k" "p" "v" 3; "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "b" "j" "k" "p" "v" 3; "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "d" "i" "l" "r" "t" "y" 3; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "d" 4; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "d" 4; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "d" 4; "e" "r" 7;
"a" "q" 5; "b" "t" 5; "c" "v" 4; "d" "d" 4; "e" "r" 7;
"a" "q" 6; "b" "t" 5; "c" "v" 4; "d" "d" 4; "e" "r" 7;
"a" "q" 6; "b" "t" 5; "c" "v" 4; "d" "d" 4; "e" "r" 7;
"a" "q" 6; "b" "t" 5; "c" "v" 4; "d" "d" 4; "e" "r" 7;
"a" "q" 6; "b" "t" 5; "c" "v" 4; "d" "d" 4; "e" "r" 7;
"a" "q" 6; "b" "t" 5; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 5; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 5; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 5; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 5; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 5; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 5; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 5; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" "y" 5; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" "y" 5; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" "y" 5; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" "y" 5; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" "y" 5; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 6;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 6;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 6;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 6;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 6;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 6;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 6;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 6;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 6;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 6;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 6;
"a" "q" 8; "b" "t" 6; "c" "v" 4; "d" "d" "i" "m" 4; "e" "r" 6;
"a" "q" 8; "b" "t" 6; "c" "j" "v" 4; "d" "d" "i" "m" 4; "e" "r" 6;
"a" "q" 8; "b" "t" 6; "c" "j" "v" 4; "d" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 6; "c" "j" "v" 4; "d" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 6; "c" "j" "v" 4; "d" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 6; "c" "j" "v" 4; "d" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "b" "j" "v" 4; "d" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "b" "j" "v" 4; "d" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "b" "j" "v" 4; "d" "c" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "b" "j" "v" 4; "d" "c" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "b" "h" "j" "v" 4; "d" "c" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "b" "h" "j" "v" 4; "d" "c" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "b" "h" "j" "v" 4; "d" "c" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "b" "h" "j" "p" "v" 4; "d" "c" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" 5; "d" "c" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" 5; "d" "c" "d" "i" "m" 4; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" 5; "d" "m" 5; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" 5; "d" "m" 5; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" "v" 5; "d" "m" 5; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" "v" 5; "d" "m" 5; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" "v" 5; "d" "m" 5; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" "v" 5; "d" "m" 5; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" "v" 5; "d" "m" 5; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" "v" 5; "d" "m" 5; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" "v" 5; "d" "m" 5; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" "v" 5; "d" "m" 5; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" "v" 5; "d" "m" 5; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" "v" 5; "d" "m" 5; "e" "r" 7;
"a" "q" 8; "b" "t" 7; "c" "j" "v" 5; "d" "m" 5; "e" "r" 7;
