none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "j" 1;
"a" "j" 1;
"a" "j" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1; "e" "b" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1; "e" "b" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1; "e" "b" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1; "e" "b" 1;
"a" "a" 4; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 4; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "k" "o" "q" "v" 3;
"a" "a" 5; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 4;
"a" "a" 5; "b" "c" "d" "f" "h" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "d" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "d" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "d" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "d" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "d" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "d" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "d" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "b" "d" "e" "f" "l" "y" "z" 3; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "d" 4; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "d" 4; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "d" 4; "e" "q" 5;
"a" "a" 5; "b" "c" "f" "h" "p" "u" "z" 3; "c" "q" "t" 4; "d" "d" 4; "e" "q" 5;
"a" "a" 5; "b" "f" 4; "c" "q" "t" 4; "d" "d" 4; "e" "q" 5;
"a" "a" 5; "b" "f" 4; "c" "q" "t" 4; "d" "d" 4; "e" "q" 5;
"a" "a" 5; "b" "f" "u" 4; "c" "q" "t" 4; "d" "d" 4; "e" "q" 5;
"a" "a" 5; "b" "f" "u" 4; "c" "q" "t" 4; "d" "d" 4; "e" "q" 5;
"a" "a" 5; "b" "f" "u" 4; "c" "q" "t" 4; "d" "d" 4; "e" "q" 5;
"a" "a" 5; "b" "f" "u" 4; "c" "q" "t" 4; "d" "d" 4; "e" "q" 5;
"a" "a" 5; "b" "f" "u" 4; "c" "q" "t" 4; "d" "d" 4; "e" "q" 5;
"a" "a" 5; "b" "f" "u" 4; "c" "q" "t" 4; "d" "d" 4; "e" "q" 5;
"a" "a" 5; "b" "f" "u" 4; "c" "q" "t" 4; "d" "d" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" "u" 4; "c" "q" "t" "w" 4; "d" "d" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" "u" 4; "c" "q" "t" "w" 4; "d" "d" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" "u" 4; "c" "q" "t" "w" 4; "d" "d" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" "h" "u" 4; "c" "q" "t" "w" 4; "d" "d" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" "h" "u" 4; "c" "q" "t" "w" 4; "d" "d" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" "h" "u" 4; "c" "q" "t" "w" 4; "d" "d" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" "h" "u" 4; "c" "q" "t" "w" 4; "d" "d" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" "h" "u" 4; "c" "q" "t" "w" 4; "d" "d" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" "h" "u" 4; "c" "q" "t" "w" 4; "d" "d" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" "h" "u" 4; "c" "q" "t" "w" 4; "d" "d" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" "h" "u" 4; "c" "q" "t" "w" 4; "d" "d" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "t" "w" 4; "d" "d" "k" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "t" "w" 4; "d" "d" "k" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "t" "w" 4; "d" "d" "k" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "t" "w" 4; "d" "d" "k" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "t" "w" 4; "d" "d" "k" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "d" "k" "y" 4; "e" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "d" "k" "y" 4; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "d" "k" "y" 4; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "d" "k" "y" 4; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "d" "k" "y" 4; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "d" "k" "y" 4; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "b" "d" "k" "y" 4; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "b" "d" "k" "y" 4; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "b" "d" "k" "y" 4; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "b" "d" "k" "y" 4; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "q" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "q" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "q" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "p" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "p" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" "s" 5; "b" "f" 5; "c" "p" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" "s" 5; "b" "f" 5; "c" "p" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" "s" 5; "b" "f" 5; "c" "p" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "p" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "p" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "p" "q" "r" "t" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "p" "q" "r" "t" "v" "w" 4; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "p" 5; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "p" 5; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "p" 5; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "p" 5; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "p" 5; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "p" 5; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "p" 5; "d" "y" 5; "e" "g" "q" 5;
"a" "a" "i" "m" "q" 5; "b" "f" 5; "c" "p" 5; "d" "y" 5; "e" "g" "q" 5;
"a" "a" 6; "b" "f" 5; "c" "p" 5; "d" "y" 5; "e" "g" "q" 5;
"a" "a" 6; "b" "f" 5; "c" "p" 5; "d" "y" 5; "e" "g" "q" 5;
