"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"e" "w" 1;
"a" "i" 1; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 1; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 1; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "v" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "v" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "v" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "i" 2; "b" "v" "w" 1; "d" "k" 2; "e" "g" "t" "w" 1;
"a" "y" 5; "b" "w" 5; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" "p" "t" 4; "d" "q" 4; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" 5; "d" "q" 5; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" 5; "d" "q" 5; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" 5; "d" "q" 5; "e" "a" "c" 5;
"a" "y" 5; "b" "w" 5; "c" "o" 5; "d" "q" 5; "e" "a" "c" 5;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 5; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "e" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "e" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "e" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "e" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "e" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "v" 6; "c" "o" 6; "d" "e" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "e" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "e" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "e" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "e" "q" "v" "w" 4; "e" "c" 6;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" 5; "e" "c" 6;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" 5; "e" "c" 7;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" 5; "e" "c" 7;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" 5; "e" "c" 7;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" 5; "e" "c" 7;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" "w" 5; "e" "c" 7;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" "w" 5; "e" "c" 7;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" "w" 5; "e" "c" 7;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" "w" 5; "e" "c" 7;
"a" "y" 5; "b" "g" "v" "w" 5; "c" "o" 6; "d" "q" "w" 5; "e" "c" 7;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 6; "d" "q" "w" 5; "e" "c" 7;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 6; "d" "q" "w" 5; "e" "c" 7;
"a" "y" 5; "b" "v" "w" 5; "c" "o" 6; "d" "q" "w" 5; "e" "c" 7;
"a" "y" 5; "b" "m" "v" "w" 5; "c" "b" "o" 6; "d" "q" "w" 5; "e" "c" 7;
"a" "y" 5; "b" "m" "v" "w" 5; "c" "b" "o" 6; "d" "q" "w" 5; "e" "c" 7;
"a" "y" 5; "b" "m" "v" "w" 5; "c" "b" "o" 6; "d" "q" "w" 5; "e" "c" 7;
"a" "y" 5; "b" "m" "v" "w" 5; "c" "b" "o" 6; "d" "q" "w" 5; "e" "c" 7;
