none
none
none
none
none
none
none
none
none
none
none
none
"d" "d" 1;
"d" "d" 1;
"d" "d" 1;
"d" "d" 1;
"d" "d" 1;
"d" "c" "d" 1;
"d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" 1;
"b" "m" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"b" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1;
"a" "d" 1; "b" "c" "m" 1; "c" "x" "y" 1; "d" "c" "d" "r" 1;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" 3; "e" "j" "p" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" 3; "e" "j" "p" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" 3; "e" "j" "p" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" 3; "e" "j" "p" 3;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" 3; "e" "p" 4;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" 3; "e" "p" 4;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" 3; "e" "p" 4;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" 3; "e" "p" 4;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" 3; "e" "p" 4;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" 3; "e" "p" 4;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" 3; "e" "p" 4;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" 3; "e" "p" 4;
"a" "p" "z" 3; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" "r" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 4; "c" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "k" "p" "q" "r" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "i" "k" "p" "q" "r" "u" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "i" "k" "p" "q" "r" "u" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "i" "k" "p" "q" "r" "u" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "i" "k" "p" "q" "r" "u" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "i" "k" "p" "q" "r" "t" "u" "z" 3; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "q" "x" 4; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "p" 4;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "a" "h" "m" "p" "t" "u" "v" 3;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "a" "h" "m" "p" "t" "u" "v" 3;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "a" "c" "h" "m" "p" "t" "u" "v" 3;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "a" "c" "h" "m" "p" "t" "u" "v" 3;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "a" "c" "h" "m" "p" "t" "u" "v" 3;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "a" "c" "h" "m" "p" "t" "u" "v" 3;
"a" "z" 4; "b" "m" "z" 5; "c" "d" "x" 5; "d" "r" 4; "e" "a" "c" "h" "m" "p" "t" "u" "v" 3;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "c" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "c" "h" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "c" "h" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "c" "h" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "c" "h" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" "r" 4; "e" "c" "h" "m" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "k" "q" "r" 4; "e" "c" "h" "m" "p" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "k" "q" "r" 4; "e" "c" "h" "m" "p" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "k" "q" "r" 4; "e" "c" "h" "m" "p" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "k" "q" "r" 4; "e" "c" "h" "m" "p" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "k" "q" "r" 4; "e" "c" "h" "m" "p" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "k" "q" "r" 4; "e" "c" "h" "m" "p" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "k" "q" "r" 4; "e" "c" "h" "m" "p" 4;
"a" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "k" "q" "r" 4; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" 5; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" 5; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" 5; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" 5; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" 5; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" 5; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" 5; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" 5; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" 5; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" 5; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" "x" 5; "d" "q" 5; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" 6; "d" "q" 5; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" 6; "d" "q" 5; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" 6; "d" "q" 5; "e" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" 6; "d" "q" 5; "e" "a" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" 6; "d" "q" "t" 5; "e" "a" "c" "h" "m" "p" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" 6; "d" "q" "t" 5; "e" "a" "c" "h" "m" "p" "q" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" 6; "d" "q" "t" 5; "e" "a" "c" "h" "m" "p" "q" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" 6; "d" "q" "t" 5; "e" "a" "c" "h" "m" "p" "q" 4;
"a" "p" "z" 4; "b" "m" 6; "c" "d" 6; "d" "q" "t" 5; "e" "a" "c" "h" "m" "p" "q" 4;
