none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "d" "n" 1;
"c" "d" "n" 1;
"c" "d" "n" 1;
"c" "d" "n" 1;
"c" "d" "n" 1;
"b" "z" 1; "c" "d" "n" 1;
"b" "z" 1; "c" "d" "n" 1;
"b" "z" 1; "c" "d" "n" 1;
"b" "z" 1; "c" "d" "n" 1;
"b" "z" 1; "c" "c" "d" "n" 1;
"b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "p" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" 1;
"a" "n" 1; "b" "z" 1; "c" "c" "d" "n" "s" 1; "e" "i" "p" "s" "y" 1;
"a" "y" 4; "b" "h" 6; "c" "e" "q" 4; "d" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 4; "b" "h" 6; "c" "e" "q" 4; "d" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 4; "b" "h" 6; "c" "e" "q" 4; "d" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 4; "b" "h" 6; "c" "e" "q" 4; "d" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 4; "b" "h" 6; "c" "e" "q" 4; "d" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 4; "b" "h" 6; "c" "e" "q" 4; "d" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 4; "b" "h" 6; "c" "e" "q" 4; "d" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "f" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "f" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "f" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "f" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "f" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "f" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "f" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "f" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "f" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "f" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "f" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "f" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 6; "c" "e" 5; "d" "f" "h" "v" 4; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 4;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 5; "b" "h" 7; "c" "e" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 7; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "o" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "o" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "o" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "o" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "o" "s" 5; "d" "f" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "o" "s" 5; "d" "f" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "o" "s" 5; "d" "f" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "o" "s" 5; "d" "f" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "o" "s" 5; "d" "f" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "o" "s" 5; "d" "f" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "o" "s" 5; "d" "f" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" "o" "s" 5; "d" "f" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" 6; "d" "f" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" 6; "d" "f" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" 6; "d" "f" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" 6; "d" "f" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" 6; "d" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" 6; "d" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" 7; "d" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" 7; "d" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" 7; "d" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" 7; "d" "x" 5; "e" "e" "p" 5;
"a" "y" 6; "b" "h" 8; "c" "e" 7; "d" "x" 5; "e" "e" "p" 5;
