none
none
none
"a" "b" 1;
"a" "b" 1;
"a" "b" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1;
"a" "b" "n" 1; "c" "b" 1;
"a" "b" "n" 1; "c" "b" 1;
"a" "b" "n" 1; "c" "b" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "e" "m" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "e" "m" "t" "w" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "e" "m" "t" "w" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "e" "m" "t" "w" 1;
"a" "b" "n" 1; "c" "b" 1; "d" "m" "r" 1; "e" "t" 2;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "m" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "m" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "m" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "m" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "m" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "m" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "m" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "m" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "m" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "m" "o" "q" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "e" "m" "o" "q" "r" 4;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 4; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 4; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "o" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" "l" "m" "o" "q" "r" 4;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" "l" "m" "o" "q" "r" 4;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" "l" "m" "o" "q" "r" 4;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" "l" "m" "o" "q" "r" 4;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" "l" "m" "o" "q" "r" 4;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" "l" "m" "o" "q" "r" 4;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 5;
"a" "u" 5; "b" "e" "g" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 5;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "e" "g" "o" 4; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "o" 5; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "o" 5; "c" "n" "s" 4; "d" "j" 5; "e" "e" 6;
"a" "u" 5; "b" "o" 5; "c" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 5; "b" "o" 5; "c" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 5; "b" "o" 5; "c" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 5; "b" "o" 5; "c" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 5; "b" "o" 5; "c" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "l" "u" 5; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
"a" "u" 6; "b" "o" 5; "c" "j" "n" "s" 4; "d" "j" 5; "e" "e" 7;
