none
none
none
none
none
none
none
none
none
none
"b" "c" 1;
"b" "c" 1; "e" "f" 1;
"b" "c" 1; "e" "f" 1;
"b" "c" 1; "e" "f" 1;
"b" "c" 1; "d" "i" 1; "e" "f" 1;
"b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 1; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "i" 1; "e" "f" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" "i" 1; "b" "c" 2; "d" "c" "d" "i" 1; "e" "f" "g" 1;
"a" "f" "i" 1; "b" "c" "o" 2; "d" "c" "d" "i" 1; "e" "f" "g" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "c" "d" "i" 1; "e" "f" "g" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "n" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "n" "q" 1;
"a" "e" "f" "i" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "n" "q" 1;
"a" "e" "f" "i" "s" 1; "b" "c" "o" 2; "d" "b" "c" "d" "i" 1; "e" "a" "f" "g" "n" "q" 1;
"a" "e" "f" "g" "i" "s" 1; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "s" 2; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "e" "s" 2; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "e" "s" 2; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "e" "s" 2; "b" "c" "o" 2; "d" "a" "b" "c" "d" "i" 1; "e" "a" "b" "f" "g" "n" "q" 1;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 6; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 6; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" 6; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 6; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 6; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 6; "e" "j" 4;
"a" "s" 6; "b" "c" "r" "s" "u" 4; "c" "s" 3; "d" "b" "v" 6; "e" "j" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "h" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "h" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "h" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "h" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "h" "k" "s" "u" 3; "d" "b" "v" 6; "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "h" "k" "s" "u" 3; "d" "b" "v" 6; "e" "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "h" "k" "s" "u" 3; "d" "b" "v" 6; "e" "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "h" "k" "s" "u" 3; "d" "b" "v" 6; "e" "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "h" "k" "s" "u" 3; "d" "b" "v" 6; "e" "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "h" "k" "s" "u" 3; "d" "b" "v" 6; "e" "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "e" "j" "n" 4;
"a" "s" 6; "b" "c" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "n" 5;
"a" "s" 6; "b" "c" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "n" 5;
"a" "s" 6; "b" "c" "n" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "n" 5;
"a" "s" 6; "b" "c" "n" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "n" 5;
"a" "s" 6; "b" "c" "n" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "n" 5;
"a" "s" 6; "b" "c" "n" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "n" 5;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "n" 5;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "n" 5;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "n" 5;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 6; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "n" "o" "s" 5; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" 6; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" 6; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" 6; "c" "k" "u" 4; "d" "b" "v" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "k" "u" 4; "d" "b" "v" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "k" "u" 4; "d" "b" "v" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "k" "u" 4; "d" "b" "v" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "k" "u" 4; "d" "b" "v" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "v" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "v" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "v" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "v" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "v" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "v" "z" 6; "e" "n" 6;
"a" "s" 7; "b" "c" "s" 6; "c" "u" 5; "d" "b" "v" "z" 6; "e" "n" 6;
