none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"d" "g" 1;
"a" "g" 1; "d" "g" 1;
"a" "e" "g" "z" 1; "d" "g" 1;
"a" "e" "g" "z" 1; "c" "o" 1; "d" "g" 1;
"a" "e" "g" "z" 1; "c" "o" 1; "d" "g" 1;
"a" "e" "g" "z" 1; "c" "o" 1; "d" "g" 1;
"a" "e" "g" "z" 1; "c" "a" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "z" 1; "c" "a" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "z" 1; "c" "a" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "z" 1; "c" "a" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "z" 1; "c" "a" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "v" "z" 1; "c" "a" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "v" "z" 1; "c" "a" "g" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "v" "z" 1; "c" "a" "g" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "e" "g" "v" "z" 1; "c" "a" "e" "g" "o" 1; "d" "g" 1; "e" "t" 1;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" "d" "h" 2;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" 3;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" 3;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" 3;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" 3;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" 3;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" 3;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" 3;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" 3;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" 3;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "k" "y" 2; "c" "g" 5; "d" "p" 3; "e" "b" 3;
"a" "n" "p" "r" "z" 3; "b" "a" "g" "k" "m" "y" 2; "c" "g" 6; "d" "p" 3; "e" "b" 3;
"a" "p" 4; "b" "a" "b" "g" "k" "m" "y" 2; "c" "g" 6; "d" "p" 3; "e" "b" 3;
"a" "p" 4; "b" "a" "b" "g" "k" "m" "y" 2; "c" "g" 6; "d" "p" 3; "e" "b" 3;
"a" "p" 4; "b" "a" "b" "g" "k" "l" "m" "y" 2; "c" "g" 6; "d" "p" 3; "e" "b" 3;
"a" "p" 4; "b" "a" "b" "g" "k" "l" "m" "y" 2; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "a" "b" "g" "k" "l" "m" "y" 2; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "a" "b" "g" "k" "l" "m" "r" "y" 2; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "a" "b" "g" "k" "l" "m" "r" "y" 2; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" 3;
"a" "p" 4; "b" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "z" 3;
"a" "p" 4; "b" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "z" 3;
"a" "p" 4; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "z" 3;
"a" "p" 4; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "z" 3;
"a" "p" 4; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "z" 3;
"a" "p" 4; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "z" 3;
"a" "p" 4; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "b" "h" "n" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "b" "d" "h" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "b" "d" "h" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "b" "d" "h" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "b" "d" "h" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "b" "d" "h" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "b" "d" "h" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "b" "d" "h" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "b" "d" "h" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "b" "d" "h" "w" "z" 3;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "z" 4;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "z" 4;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "z" 4;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "z" 4;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "z" 4;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "z" 4;
"a" "p" 5; "b" "l" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "h" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "h" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "h" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "h" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "h" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "h" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 6; "d" "p" "w" 3; "e" "h" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "w" 3; "e" "h" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "w" 3; "e" "h" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "w" 3; "e" "h" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "w" 3; "e" "h" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "w" 3; "e" "h" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "w" 3; "e" "h" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "l" "n" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "f" "l" "n" "u" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "f" "l" "n" "u" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "f" "l" "n" "u" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "f" "l" "n" "u" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "f" "l" "n" "u" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "f" "l" "n" "u" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "f" "l" "n" "u" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "f" "l" "n" "u" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "h" "w" "z" 4;
"a" "p" 5; "b" "f" "l" "n" "u" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" 5; "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" 5; "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" 5; "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 7; "d" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 8; "d" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 8; "d" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 8; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 8; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 8; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 8; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 8; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 8; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 8; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 8; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 8; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 8; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 8; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "b" "f" "l" "n" "u" "v" "y" 3; "c" "g" 8; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "d" "h" "w" "z" 4;
"a" "p" "z" 5; "b" "f" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "z" 5;
"a" "p" "z" 5; "b" "f" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "z" 5;
"a" "p" "z" 5; "b" "f" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "z" 5;
"a" "p" "z" 5; "b" "f" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "z" 5;
"a" "p" "z" 5; "b" "f" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "z" 5;
"a" "p" "z" 5; "b" "f" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "z" 5;
"a" "p" "z" 5; "b" "f" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "z" 5;
"a" "p" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "z" 5;
"a" "p" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "h" "j" "p" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "h" "j" "p" "q" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "h" "j" "p" "q" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "h" "j" "p" "q" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "h" "j" "o" "p" "q" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "g" "h" "j" "o" "p" "q" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "g" "h" "j" "o" "p" "q" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "g" "h" "j" "o" "p" "q" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "g" "h" "j" "o" "p" "q" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "g" "h" "j" "o" "p" "q" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "g" "h" "j" "o" "p" "q" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "g" "h" "j" "o" "p" "q" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "g" "h" "j" "o" "p" "q" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "g" "h" "j" "o" "p" "q" "s" "w" 3; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "g" 4; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "g" 4; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "g" 4; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "g" 4; "e" "z" 5;
"a" "z" 5; "b" "f" "v" 4; "c" "g" 9; "d" "g" 4; "e" "z" 5;
