none
none
none
none
"d" "r" 1;
"d" "r" 1;
"d" "r" 1;
"d" "r" 1;
"d" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"c" "t" 1; "d" "p" "r" 1;
"a" "e" 1; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "a" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "a" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 2; "b" "a" "h" 1; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 2; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 2; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 2; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 2; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" 3; "b" "a" 3; "c" "f" "t" 1; "d" "e" "p" "r" 1;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "y" 5; "c" "j" "q" 5; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "u" 6;
"a" "e" "i" "y" 5; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "p" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "p" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "p" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "m" 5; "e" "p" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" "u" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 6; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 7; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 7; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 7; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 7; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 7; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 7; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 7; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "o" "y" 5; "c" "q" 7; "d" "a" "m" 5; "e" "p" 6;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "a" "m" 5; "e" "p" 7;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "a" "m" 5; "e" "p" 7;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "a" "m" 5; "e" "p" 7;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "a" "m" 5; "e" "p" 7;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "a" "m" 5; "e" "p" 7;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "a" "m" 5; "e" "p" 7;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "m" 6; "e" "p" 7;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "m" 6; "e" "p" 7;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "m" 6; "e" "p" 7;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "m" 6; "e" "p" 7;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "m" 6; "e" "p" 7;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "m" 6; "e" "p" 7;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "m" 6; "e" "p" 7;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "m" 6; "e" "p" 7;
"a" "e" 6; "b" "y" 6; "c" "q" 7; "d" "m" 6; "e" "p" 7;
