none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "l" 1;
"d" "l" 1;
"d" "l" 1;
"d" "l" 1;
"d" "l" 1;
"c" "c" 1; "d" "l" 1;
"c" "c" 1; "d" "l" 1;
"c" "c" "u" 1; "d" "l" 1;
"a" "k" 1; "c" "c" "u" 1; "d" "l" 1;
"a" "k" 1; "c" "c" "u" 1; "d" "l" 1;
"a" "k" 1; "c" "c" "u" 1; "d" "l" "z" 1;
"a" "k" 1; "c" "c" "n" "u" 1; "d" "l" "z" 1;
"a" "k" 1; "c" "c" "n" "u" 1; "d" "l" "z" 1;
"a" "k" 1; "c" "c" "n" "u" 1; "d" "l" "z" 1;
"a" "k" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "s" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "s" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "l" "s" "z" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "k" "y" 1; "c" "c" "n" "s" "u" 1; "d" "j" "l" "s" "z" 1; "e" "x" 1;
"a" "e" "s" 4; "b" "i" 3; "c" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "e" "s" 4; "b" "i" 3; "c" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "e" "s" 4; "b" "i" 3; "c" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "e" "s" 4; "b" "i" 3; "c" "a" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "e" "s" 4; "b" "i" 3; "c" "a" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "e" "s" 4; "b" "i" 3; "c" "a" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "e" "s" 4; "b" "i" 3; "c" "a" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "e" "s" 4; "b" "i" 3; "c" "a" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "e" "s" 4; "b" "i" 3; "c" "a" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "e" "s" 4; "b" "i" 3; "c" "a" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "e" "s" 4; "b" "i" 3; "c" "a" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "e" "s" 4; "b" "i" 3; "c" "a" "d" "g" "j" "o" "s" "u" 2; "d" "b" 4; "e" "i" 4;
"a" "e" "s" 4; "b" "i" 3; "c" "a" 3; "d" "b" 4; "e" "i" 4;
"a" "e" "s" 4; "b" "i" 3; "c" "a" 3; "d" "b" 4; "e" "i" 4;
"a" "s" 5; "b" "i" 3; "c" "a" "o" 3; "d" "b" 4; "e" "i" 4;
"a" "s" 5; "b" "i" 3; "c" "a" "o" 3; "d" "b" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" 3; "d" "b" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" 3; "d" "b" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" 3; "d" "b" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" 3; "d" "b" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" 3; "d" "b" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" 3; "d" "b" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" "u" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" "u" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" "u" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" "u" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" "u" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" "u" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" "u" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" "u" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" "u" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" "u" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" "u" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" 3; "c" "a" "o" "u" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" "w" 3; "c" "a" "o" "u" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" "w" 3; "c" "a" "o" "u" 3; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" "w" 3; "c" "o" 4; "d" "b" "p" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" "w" 3; "c" "o" "v" 4; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" "w" "y" 3; "c" "o" "v" 4; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" "w" "y" 3; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" "w" "y" 3; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" "w" "y" 3; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" "w" "y" 3; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "s" 5; "b" "i" "o" "w" "y" 3; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" "s" 5; "b" "i" "o" "w" "y" 3; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" "s" 5; "b" "i" "o" "w" "y" 3; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" "s" 5; "b" "i" "o" "w" "y" 3; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" "s" 5; "b" "i" "o" "w" "y" 3; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" "s" 5; "b" "i" "o" "w" "y" 3; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "i" "o" "w" "y" 3; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 4; "c" "o" 5; "d" "b" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "o" "w" "y" 4; "c" "o" 5; "d" "b" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "o" "w" "y" 4; "c" "o" 5; "d" "b" "k" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "o" "w" "y" 4; "c" "o" 5; "d" "b" "k" "l" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "o" "w" "y" 4; "c" "o" 5; "d" "b" "k" "l" "o" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "o" "w" "y" 4; "c" "o" 5; "d" "b" "k" "l" "o" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "o" "w" "y" 4; "c" "o" 5; "d" "b" "k" "l" "o" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "o" "w" "y" 4; "c" "o" 5; "d" "b" "k" "l" "o" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "o" "w" "y" 4; "c" "o" 5; "d" "b" "k" "l" "o" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "o" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "o" "s" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 5; "d" "b" "c" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "b" "c" "k" "l" "o" "p" "r" "t" 4; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" 6; "c" "o" 6; "d" "l" "o" 5; "e" "i" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 6; "d" "l" "o" 5; "e" "i" "t" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 6; "d" "k" "l" "o" 5; "e" "i" "t" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 6; "d" "k" "l" "o" 5; "e" "i" "t" 4;
"a" "e" "o" "s" 6; "b" "w" "y" 5; "c" "o" 6; "d" "k" "l" "o" 5; "e" "i" "t" 4;
