none
none
none
none
none
none
none
none
none
none
none
none
"d" "c" 1;
"d" "c" 1;
"b" "n" 1; "d" "c" 1;
"b" "n" 1; "d" "c" 1;
"b" "n" 1; "d" "c" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "l" "q" "r" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "l" "q" "r" "w" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "l" "q" "r" "w" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "l" "q" "r" "w" "y" 1;
"a" "h" "p" 1; "b" "d" "n" 1; "d" "r" 2; "e" "e" 1;
"a" "h" 7; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 7; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 7; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 7; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 7; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 7; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 7; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 7; "b" "r" 5; "c" "l" "n" "r" 4; "d" "s" 6; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "l" "n" "r" 4; "d" "l" "s" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "f" "l" "n" "r" 4; "d" "l" "s" "t" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "b" "f" "l" "n" "r" 4; "d" "l" "s" "t" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "b" "f" "l" "n" "r" 4; "d" "l" "s" "t" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "b" "f" "l" "n" "r" 4; "d" "l" "s" "t" 5; "e" "l" 5;
"a" "h" 7; "b" "n" "o" "r" 5; "c" "b" "f" "l" "n" "r" 4; "d" "l" "s" "t" 5; "e" "l" 5;
