none
none
none
none
none
none
none
none
none
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "f" "x" 1;
"d" "f" "x" 1;
"d" "f" "x" 1;
"d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "s" "x" 1;
"b" "r" 1; "d" "f" "s" "x" 1;
"a" "q" 1; "b" "r" 1; "d" "f" "s" "x" 1;
"a" "q" 1; "b" "r" 1; "d" "f" "s" "x" 1;
"a" "q" 1; "b" "r" 1; "d" "f" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 1; "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 1; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "c" "t" "u" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "c" "t" "u" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "c" "t" "u" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "c" "t" "u" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "c" "t" "u" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "c" "t" "u" "w" 3;
"a" "j" "n" "z" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "c" "t" "u" "w" 3;
"a" "j" "n" 4; "b" "m" 5; "c" "s" 8; "d" "l" "r" 5; "e" "c" "t" "u" "w" 3;
"a" "j" "n" 4; "b" "m" 6; "c" "s" 8; "d" "l" "r" 5; "e" "c" "t" "u" "w" 3;
"a" "j" "n" 4; "b" "m" 6; "c" "s" 8; "d" "l" "r" 5; "e" "c" "t" "u" "w" 3;
"a" "c" "j" "n" 4; "b" "m" 6; "c" "s" 8; "d" "l" "r" 5; "e" "c" "f" "t" "u" "w" 3;
"a" "c" "j" "n" 4; "b" "m" 6; "c" "s" 8; "d" "l" "r" 5; "e" "c" "f" "t" "u" "w" 3;
"a" "c" "j" "n" 4; "b" "m" 6; "c" "s" 8; "d" "l" "r" 5; "e" "c" "f" "t" "u" "w" 3;
"a" "c" "j" "n" 4; "b" "m" 6; "c" "s" 8; "d" "l" "r" 5; "e" "c" "f" "t" "u" "w" 3;
"a" "c" "j" "n" 4; "b" "m" 6; "c" "s" 8; "d" "l" "r" 5; "e" "c" "f" "t" "u" "w" 3;
"a" "c" "j" "n" 4; "b" "m" 6; "c" "s" 8; "d" "l" "r" 5; "e" "c" "f" "t" "u" "w" 3;
"a" "c" "j" "n" 4; "b" "m" 6; "c" "s" 8; "d" "l" "r" 5; "e" "c" "f" "t" "u" "w" 3;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 5; "e" "c" "f" "t" "u" "w" 3;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 5; "e" "c" "f" "t" "u" "w" 3;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" "f" "t" "u" "w" 3;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" "f" "t" "u" "w" 3;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 4;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 4;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 4;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 4;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 4;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 4;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 4;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 4;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 4;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 4;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 4;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 4;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 5; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 6; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" 7; "e" "c" 5;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "b" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "b" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "b" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "b" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "b" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "b" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "b" "c" "n" "u" 4;
"a" "j" "n" 6; "b" "m" 6; "c" "s" 8; "d" "l" "r" 7; "e" "b" "c" "f" "n" "u" 4;
