none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "l" 1;
"c" "l" 1;
"b" "q" "r" 1; "c" "l" 1;
"b" "q" "r" 1; "c" "l" 1;
"b" "q" "r" 1; "c" "l" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "g" "r" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "b" "q" "r" "u" "z" 3; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 4; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 4; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 4; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 4; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" "m" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" "m" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" "m" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" "m" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" "m" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 5; "e" "x" 5;
"a" "e" "m" 4; "b" "f" 6; "c" "l" "m" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "x" 5;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" 5; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" "g" "m" "u" 4; "b" "f" "o" 6; "c" "l" "m" "v" 4; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" "g" "m" "u" 4; "b" "f" "o" 6; "c" "l" 5; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" "g" "m" "u" 4; "b" "f" "o" 6; "c" "l" 5; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" "g" "m" "u" 4; "b" "f" "o" 6; "c" "l" 5; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" "g" "m" "u" 4; "b" "f" "o" 6; "c" "l" 5; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" "g" "m" "u" 4; "b" "f" "o" 6; "c" "l" 5; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" "g" "m" "u" 4; "b" "f" "o" 6; "c" "l" 5; "d" "z" 6; "e" "g" "i" "x" "z" 4;
"a" "e" "g" "m" "u" 4; "b" "f" "o" 6; "c" "l" 5; "d" "z" 6; "e" "i" "x" "z" 4;
"a" "e" "g" "m" "u" 4; "b" "f" "o" 6; "c" "l" 5; "d" "z" 6; "e" "i" "x" "z" 4;
"a" "e" "g" "h" "m" "u" 4; "b" "f" "o" 6; "c" "l" 5; "d" "z" 6; "e" "i" "x" "z" 4;
"a" "e" "g" "h" "m" "u" 4; "b" "f" "o" 6; "c" "l" 5; "d" "z" 6; "e" "i" "x" "z" 4;
"a" "m" 5; "b" "f" "o" 6; "c" "l" 5; "d" "z" 6; "e" "i" "x" "z" 4;
"a" "m" 5; "b" "f" "o" 6; "c" "l" 5; "d" "z" 6; "e" "i" "x" "z" 4;
"a" "m" 5; "b" "f" 7; "c" "l" 5; "d" "z" 6; "e" "i" "x" "z" 4;
"a" "m" 5; "b" "f" 7; "c" "l" 5; "d" "z" 6; "e" "i" "x" "z" 4;
"a" "m" 5; "b" "f" 7; "c" "l" 5; "d" "z" 6; "e" "i" "x" "z" 4;
"a" "m" 5; "b" "f" 7; "c" "l" 5; "d" "z" 6; "e" "i" "x" "z" 4;
"a" "m" 5; "b" "f" 7; "c" "l" 5; "d" "z" 6; "e" "i" "x" "z" 4;
"a" "m" 5; "b" "f" 7; "c" "l" 5; "d" "z" 6; "e" "i" "x" "z" 4;
"a" "m" 5; "b" "f" 7; "c" "l" 5; "d" "z" 6; "e" "i" "x" "z" 4;
"a" "m" 5; "b" "f" 7; "c" "l" 5; "d" "z" 6; "e" "i" "x" "z" 4;
"a" "m" 5; "b" "f" 7; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 7; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 7; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 7; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 7; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 8; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 8; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 8; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 8; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 8; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 8; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 8; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 8; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 8; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 8; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 8; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 8; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 8; "c" "l" 5; "d" "z" 6; "e" "z" 5;
"a" "m" 5; "b" "f" 8; "c" "l" 5; "d" "z" 6; "e" "z" 5;
