none
none
none
none
none
none
none
"b" "h" 1;
"b" "h" 1;
"a" "v" 1; "b" "h" 1;
"a" "v" 1; "b" "h" 1;
"a" "v" 1; "b" "h" 1; "c" "b" 1;
"a" "v" 1; "b" "h" 1; "c" "b" 1;
"a" "v" 1; "b" "h" 1; "c" "b" 1; "d" "l" 1;
"a" "v" 1; "b" "h" 1; "c" "b" 1; "d" "l" 1;
"a" "v" 1; "b" "h" 1; "c" "b" 1; "d" "l" 1;
"a" "v" 1; "b" "h" 1; "c" "b" 1; "d" "l" 1;
"a" "v" 1; "b" "h" 1; "c" "b" 1; "d" "l" 1;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" "r" "y" 3; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" 4; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" 4; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" 4; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" 4; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" 4; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" 4; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" 4; "e" "b" "g" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" 4; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" 4; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" 4; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 4; "d" "h" "p" 4; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 5; "d" "h" "p" 4; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 5; "d" "h" "p" 4; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 5; "d" "h" "p" 4; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 5; "d" "h" "p" 4; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "c" "h" "k" "y" 3; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "w" 3;
"a" "k" "s" 4; "b" "k" 4; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "h" "w" 3;
"a" "k" "s" 4; "b" "k" 4; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "h" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "h" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "h" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "h" "l" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "h" "l" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "h" "l" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "h" "l" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "h" "l" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 5; "e" "a" "b" "g" "h" "l" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "f" "p" 5; "e" "a" "b" "g" "h" "l" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "f" "p" 5; "e" "a" "b" "g" "h" "l" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "f" "p" 5; "e" "a" "b" "g" "h" "l" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "f" "p" 5; "e" "a" "b" "g" "h" "l" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "f" "p" 5; "e" "a" "b" "g" "h" "l" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "f" "p" 5; "e" "a" "b" "g" "h" "l" "w" 3;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "f" "p" 5; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "f" "p" 5; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "f" "p" 5; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 6; "e" "a" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 7; "e" "a" "h" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 7; "e" "a" "h" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 7; "e" "a" "h" "w" 4;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" 4; "c" "f" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "k" "x" 4; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" "i" 5; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" 6; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" 6; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" 6; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" 6; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" 6; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" 6; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" 6; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" 6; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" 6; "d" "p" 7; "e" "a" "w" 5;
"a" "k" "s" 5; "b" "x" 5; "c" "f" 6; "d" "p" 7; "e" "a" "w" 5;
