none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1; "d" "n" 1;
"b" "i" 1; "d" "n" 1;
"a" "l" 1; "b" "i" 1; "d" "n" 1; "e" "i" "p" 1;
"a" "l" 1; "b" "i" 1; "d" "n" 1; "e" "p" 2;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" 4; "e" "i" "l" "m" "o" "p" "r" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" 4; "e" "i" "l" "m" "o" "p" "r" "t" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" 4; "e" "i" "l" "m" "o" "p" "r" "t" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" 4; "e" "i" "l" "m" "o" "p" "r" "t" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" 4; "e" "i" "l" "m" "o" "p" "r" "t" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 4; "d" "h" 4; "e" "i" "l" "m" "o" "p" "r" "t" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 5; "d" "h" 4; "e" "i" "l" "m" "o" "p" "r" "t" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 5; "d" "h" 4; "e" "i" "l" "m" "o" "p" "r" "t" "x" 3;
"a" "r" 6; "b" "h" 4; "c" "i" 5; "d" "h" 4; "e" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 4; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" "r" 6; "b" "h" "p" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 5; "d" "h" 5; "e" "i" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" 5; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "i" "o" "p" "r" 4;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "b" "h" "p" "r" "w" 4; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "w" 5; "c" "i" 6; "d" "h" "p" "u" "v" "y" 4; "e" "p" 5;
"a" "k" 7; "b" "w" 5; "c" "i" 6; "d" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "w" 5; "c" "i" 6; "d" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "w" 5; "c" "i" 6; "d" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "w" 5; "c" "i" 6; "d" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "w" 5; "c" "i" 6; "d" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "w" 5; "c" "i" 6; "d" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "w" 5; "c" "i" 6; "d" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "w" 5; "c" "i" 6; "d" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "p" "w" 5; "c" "i" 6; "d" "u" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "p" "w" 5; "c" "i" 6; "d" "u" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "p" "w" 5; "c" "i" 6; "d" "u" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "p" "w" 5; "c" "i" 6; "d" "u" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "p" "w" 5; "c" "i" 6; "d" "u" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "p" "w" 5; "c" "i" "p" 6; "d" "u" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "p" "w" 5; "c" "i" "p" 6; "d" "u" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "p" "w" 5; "c" "i" "p" 6; "d" "u" "v" "y" 5; "e" "p" 5;
"a" "k" 7; "b" "p" "w" 5; "c" "i" "p" 6; "d" "u" "v" 5; "e" "p" 5;
"a" "k" 7; "b" "p" "w" 5; "c" "i" "p" 6; "d" "u" "v" 5; "e" "p" 5;
"a" "k" 7; "b" "p" "w" 5; "c" "i" "p" 6; "d" "u" "v" 5; "e" "p" 5;
