none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "r" 1;
"b" "r" 1;
"b" "r" 1;
"b" "r" 1;
"a" "n" 1; "b" "r" 1;
"a" "n" 1; "b" "j" "r" 1; "c" "k" 1;
"a" "n" 1; "b" "j" "r" 1; "c" "k" 1;
"a" "n" "r" 1; "b" "d" "j" "r" 1; "c" "k" 1; "e" "y" 1;
"a" "n" "r" 1; "b" "d" "j" "r" 1; "c" "k" 1; "e" "y" 1;
"a" "l" 5; "b" "a" "b" "d" "k" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" 5; "b" "a" "b" "d" "k" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" 5; "b" "a" "b" "d" "k" "n" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" 5; "b" "a" "b" "d" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" 5; "b" "a" "b" "d" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" 5; "b" "a" "b" "d" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" 5; "b" "a" "b" "d" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" 5; "b" "a" "b" "d" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "a" "b" "d" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "a" "b" "d" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "a" "b" "d" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "a" "b" "d" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "a" "b" "d" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "a" "b" "d" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "a" "b" "d" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "a" "b" "d" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "a" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "a" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "o" "s" 5; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 6; "d" "b" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 6; "d" "b" "h" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 6; "d" "b" "h" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 6; "d" "b" "h" 4; "e" "t" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 6; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 6; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 6; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 6; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "i" "l" "q" 5; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "n" "r" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" "u" "y" 4;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "r" "w" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "r" "w" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "r" "w" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "r" "w" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "r" "w" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "r" "w" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "r" "w" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "r" "w" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "b" "d" "f" "j" "k" "r" "w" 3; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "a" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "a" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "a" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "b" "h" 4; "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "h" 5; "e" "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "h" 5; "e" "e" "t" 5;
"a" "l" 6; "b" "r" 4; "c" "s" 7; "d" "h" 5; "e" "e" "t" 5;
