none
none
none
none
none
none
"c" "s" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "s" 1; "e" "b" 1;
"c" "f" "s" 1; "e" "b" 1;
"c" "f" "s" 1; "e" "b" 1;
"b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "a" 1; "b" "c" 1; "c" "f" "s" 1; "e" "b" 1;
"a" "d" "v" 4; "b" "n" 4; "c" "f" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "f" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "f" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "f" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "n" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 5;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" "v" 5;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" "v" 5;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" "v" 5;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" "v" 5;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" "v" 5;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" "v" 5;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" "v" 5;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" "v" 5;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" "v" 5;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" "v" 5;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" "v" 5;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" "v" 5;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" "v" 5;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 6;
"a" "d" "v" 4; "b" "g" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 6;
"a" "d" "v" 4; "b" "g" "y" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 6;
"a" "d" "v" 4; "b" "g" "y" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 6;
"a" "d" "v" 4; "b" "g" "y" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 6;
"a" "d" "v" 4; "b" "g" "y" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 6;
"a" "d" "v" 4; "b" "g" "y" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 6;
"a" "d" "v" 4; "b" "g" "y" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 6;
"a" "d" "v" 4; "b" "g" "y" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 6;
"a" "d" "v" 4; "b" "g" "y" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 6;
"a" "d" "v" 4; "b" "g" "y" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 6;
"a" "d" "v" 4; "b" "g" "y" 4; "c" "q" "t" 3; "d" "e" 5; "e" "g" 6;
"a" "d" "v" 4; "b" "g" "y" 4; "c" "q" 4; "d" "e" 5; "e" "g" 6;
"a" "d" "v" 4; "b" "g" "y" 4; "c" "q" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "u" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "u" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "u" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" 6;
"a" "u" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" "v" 6;
"a" "u" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" "v" 6;
"a" "u" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 5; "e" "g" "v" 6;
"a" "v" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" "x" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" "x" 4; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "o" "y" 4; "c" "q" "t" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "o" "y" 4; "c" "q" "t" "z" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "o" "y" 4; "c" "q" "t" "z" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "o" "y" 4; "c" "q" "t" "z" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "o" "y" 4; "c" "q" "t" "z" 4; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "o" "y" 4; "c" "z" 5; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "o" "y" 4; "c" "z" 5; "d" "e" 6; "e" "g" "v" 6;
"a" "u" "v" 5; "b" "b" "g" "o" "y" 4; "c" "z" 5; "d" "e" 6; "e" "g" 7;
"a" "u" "v" 5; "b" "b" "g" "o" "y" 4; "c" "z" 5; "d" "e" 6; "e" "g" 7;
"a" "u" "v" 5; "b" "b" "g" "o" "y" 4; "c" "z" 5; "d" "e" 6; "e" "g" 7;
"a" "u" "v" 5; "b" "b" "g" "o" "y" 4; "c" "z" 5; "d" "e" 6; "e" "g" 7;
"a" "u" "v" 5; "b" "b" "g" "o" "y" 4; "c" "z" 5; "d" "e" 6; "e" "g" 7;
"a" "u" "v" 5; "b" "b" "g" "o" "y" 4; "c" "z" 5; "d" "e" 6; "e" "g" 7;
"a" "u" "v" 5; "b" "b" "g" "o" "y" 4; "c" "z" 5; "d" "e" 6; "e" "g" 7;
"a" "u" "v" 5; "b" "y" 5; "c" "z" 5; "d" "e" 6; "e" "g" 7;
"a" "u" "v" 5; "b" "y" 5; "c" "z" 5; "d" "e" 6; "e" "g" 7;
"a" "u" "v" 5; "b" "y" 5; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
"a" "u" "v" 5; "b" "y" 6; "c" "z" 5; "d" "e" 6; "e" "g" 8;
