none
none
none
none
none
none
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"b" "n" 1; "c" "a" 1;
"b" "n" 1; "c" "a" 1;
"b" "n" "v" 1; "c" "a" 1; "e" "y" 1;
"b" "n" "v" "x" 1; "c" "a" 1; "e" "y" 1;
"b" "n" "v" "x" 1; "c" "a" 1; "e" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "b" "k" "n" "v" "x" 1; "c" "a" 1; "e" "b" "y" 1;
"b" "b" "k" "n" "r" "v" "x" 1; "c" "a" 1; "d" "i" 1; "e" "b" "y" 1;
"b" "b" "k" "n" "r" "v" "x" 1; "c" "a" 1; "d" "i" 1; "e" "b" "y" 1;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 4; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" "m" 3;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 5; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "e" "k" 5; "b" "x" 5; "c" "b" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "e" "k" 5; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "e" "k" 5; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "y" 4;
"a" "e" "k" 5; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" 4;
"a" "e" "k" 5; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "e" "k" 5; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "e" "k" 5; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "e" "k" 5; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "e" "k" 5; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "e" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "e" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "e" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "e" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "e" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "e" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "e" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "e" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "x" 4;
"a" "e" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "e" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "e" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "e" "k" 6; "b" "x" 5; "c" "b" "h" 5; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "e" "k" 6; "b" "x" 6; "c" "b" "h" 5; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "e" "k" 6; "b" "x" 6; "c" "b" "h" 5; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "e" "k" 6; "b" "x" 6; "c" "b" "h" 5; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "e" "k" 6; "b" "x" 6; "c" "b" "h" 5; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "e" "k" 6; "b" "x" 6; "c" "b" "h" 5; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "e" "k" 6; "b" "x" 6; "c" "b" "h" 5; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "e" "k" 6; "b" "x" 6; "c" "b" "h" 5; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "e" "k" 6; "b" "x" 6; "c" "b" "h" 5; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "k" 7; "b" "x" 6; "c" "h" 6; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "k" 7; "b" "x" 6; "c" "h" 6; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "k" 7; "b" "x" 6; "c" "h" 6; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "k" 7; "b" "x" 6; "c" "h" 6; "d" "u" 6; "e" "b" "j" "x" 4;
"a" "k" 7; "b" "x" 6; "c" "h" 6; "d" "u" 6; "e" "b" "j" "x" 4;
