none
none
none
none
none
none
none
none
none
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "b" "t" 1; "c" "i" 1;
"a" "p" "w" 1; "b" "t" 1; "c" "i" 1; "e" "d" 1;
"a" "a" "h" "k" "p" "s" 4; "b" "f" "g" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "f" "g" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "f" "g" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "f" "g" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "f" "g" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "f" "g" "j" "x" 4; "c" "k" 5; "d" "n" "o" 3; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "f" "g" "j" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "a" "h" "k" "p" "s" 4; "b" "f" "g" "j" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" "x" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 5;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" "g" "j" "l" 4; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" 5; "b" "f" 5; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" "y" 5; "b" "f" 5; "c" "k" 5; "d" "o" 4; "e" "u" 6;
"a" "h" "k" "s" "y" 5; "b" "f" 5; "c" "k" 5; "d" "n" "o" 4; "e" "u" 6;
"a" "h" "k" "s" "y" 5; "b" "f" 5; "c" "k" 5; "d" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 5; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 5; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 5; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 5; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 5; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 5; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 5; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 5; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 5; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 5; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 5; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 5; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 5; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 6; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 6; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 6; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 6; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 6; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 6; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 6; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 6; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 6; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 6; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 6; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
"a" "y" 6; "b" "f" 6; "c" "k" 5; "d" "e" "n" "o" 4; "e" "u" 6;
