none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "p" "y" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1;
"b" "p" "y" 1; "c" "p" 1; "d" "h" "r" 1; "e" "p" "z" 1;
"b" "p" "y" 1; "c" "p" 1; "d" "h" "r" 1; "e" "p" "z" 1;
"b" "p" "y" 1; "c" "p" 1; "d" "h" "r" 1; "e" "p" "z" 1;
"a" "w" 5; "b" "e" 5; "c" "c" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 5; "b" "e" 5; "c" "c" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 5; "b" "e" 5; "c" "c" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 5; "b" "e" 5; "c" "c" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 5; "b" "e" 5; "c" "c" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 5; "b" "e" 5; "c" "c" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 5; "b" "e" 5; "c" "c" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "d" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "d" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "d" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "d" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "d" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "d" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "d" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "d" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "d" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "d" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "d" "h" "l" "p" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 6; "b" "e" 5; "c" "c" "d" "h" "l" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 7; "b" "e" 6; "c" "c" "d" "h" "l" "v" 3; "d" "s" 4; "e" "b" "g" 5;
"a" "w" 7; "b" "e" 6; "c" "c" "d" "h" "l" "v" 3; "d" "a" "s" 4; "e" "b" "g" 5;
"a" "w" 7; "b" "e" 6; "c" "c" "d" "h" "l" "v" 3; "d" "a" "s" 4; "e" "b" "g" 5;
"a" "w" 7; "b" "e" 6; "c" "c" "d" "h" "l" "v" 3; "d" "a" "s" 4; "e" "b" "g" 5;
"a" "w" 7; "b" "e" 6; "c" "c" "d" "h" "l" "v" 3; "d" "a" "s" 4; "e" "b" "g" 5;
"a" "w" 7; "b" "e" 6; "c" "c" "d" "h" "l" "v" 3; "d" "a" "s" 4; "e" "b" "g" 5;
"a" "w" 7; "b" "e" 6; "c" "c" "d" "h" "l" "v" 3; "d" "a" "s" 4; "e" "b" "g" 5;
"a" "w" 7; "b" "e" 6; "c" "c" "d" "h" "l" "v" 3; "d" "a" "s" 4; "e" "b" "g" 5;
"a" "w" 7; "b" "e" 6; "c" "c" "d" "h" "l" "v" 3; "d" "a" "s" 4; "e" "b" "g" 5;
"a" "w" 7; "b" "e" 6; "c" "c" "d" "h" "l" "v" 3; "d" "a" "s" 4; "e" "b" "g" 5;
"a" "w" 7; "b" "e" 6; "c" "c" "d" "h" "l" "r" "v" 3; "d" "a" "s" 4; "e" "b" "g" 5;
"a" "w" 7; "b" "e" 6; "c" "c" "d" "h" "l" "r" "v" 3; "d" "a" "s" 4; "e" "b" "g" 5;
"a" "w" 7; "b" "e" 6; "c" "c" "d" "h" "l" "r" "v" 3; "d" "a" "s" 4; "e" "b" "g" "k" 5;
"a" "w" 7; "b" "e" 7; "c" "c" "d" "h" "l" "r" "v" 3; "d" "a" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "c" "d" "h" "l" "r" "v" 3; "d" "a" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "c" "d" "h" "l" "r" "v" 3; "d" "a" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "a" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "a" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "a" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "a" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "a" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "a" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "a" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "a" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "a" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "i" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "i" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "i" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "i" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "i" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "s" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" 4; "e" "b" "g" "k" "t" 5;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "q" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "q" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "q" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "q" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "q" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "q" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "q" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "q" "x" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "q" "x" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "q" "x" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "q" "x" 4; "e" "k" 6;
"a" "w" 7; "b" "e" 7; "c" "d" "j" 4; "d" "h" "i" "q" "x" 4; "e" "k" 6;
