none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"b" "d" "m" 1; "e" "q" 1;
"b" "d" "m" 1; "e" "q" 1;
"b" "d" "m" 1; "e" "q" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"a" "j" "r" 1; "b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"a" "j" "r" 1; "b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"a" "j" "r" 1; "b" "d" "m" 1; "d" "f" "y" 1; "e" "y" 2;
"a" "j" "r" 1; "b" "d" "m" 1; "d" "f" "y" 1; "e" "y" 2;
"a" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "y" 1; "e" "y" 2;
"a" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "y" 1; "e" "y" 2;
"a" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "a" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "a" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "a" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "a" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "a" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "a" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" 4; "d" "e" 8; "e" "a" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "s" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "s" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "s" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "s" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "s" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "s" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "s" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "s" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "s" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "s" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "s" 4; "d" "e" 8; "e" "a" "d" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "s" 4; "d" "e" 8; "e" "a" "d" "g" "w" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "s" 4; "d" "e" 8; "e" "a" "d" "g" "w" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "p" "s" 4; "d" "e" 8; "e" "a" "d" "g" "w" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "p" "s" 4; "d" "e" 8; "e" "a" "d" "g" "w" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "p" "s" 4; "d" "e" 8; "e" "a" "d" "g" "w" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "p" "s" 4; "d" "e" 8; "e" "a" "d" "g" "w" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "p" "s" 4; "d" "e" 8; "e" "a" "d" "g" "w" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "p" "s" 4; "d" "e" 8; "e" "a" "d" "g" "w" "y" 4;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "p" "s" 4; "d" "e" 8; "e" "y" 5;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "p" "s" 4; "d" "e" 8; "e" "y" 5;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "p" "s" 4; "d" "e" 8; "e" "y" 5;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "p" "s" 4; "d" "e" 8; "e" "y" 5;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "p" "s" 4; "d" "e" 8; "e" "y" 5;
"a" "c" "k" 4; "b" "k" "q" 4; "c" "j" "m" "p" "s" 4; "d" "e" 8; "e" "y" 5;
"a" "c" "k" 4; "b" "k" "m" "q" 4; "c" "j" "m" "p" "s" 4; "d" "e" 7; "e" "y" 5;
"a" "c" "k" 4; "b" "k" "m" "q" 4; "c" "j" "m" "p" "s" "t" 4; "d" "e" 7; "e" "y" 5;
"a" "c" "k" 4; "b" "k" "m" "q" 4; "c" "j" "m" "p" "s" "t" 4; "d" "e" 7; "e" "y" 5;
"a" "c" "k" 4; "b" "k" "m" "q" 4; "c" "j" "m" "p" "s" "t" 4; "d" "e" 7; "e" "y" 5;
"a" "c" "k" 4; "b" "k" "m" "q" 4; "c" "j" "m" "p" "s" "t" 4; "d" "e" 7; "e" "y" 5;
"a" "c" "k" 4; "b" "k" "m" "q" 4; "c" "j" "m" "p" "s" "t" 4; "d" "e" 7; "e" "y" 5;
"a" "c" "k" 4; "b" "k" "m" "q" 4; "c" "j" "m" "p" "s" "t" 4; "d" "e" 7; "e" "y" 5;
"a" "c" "k" 4; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" 4; "d" "e" 7; "e" "y" 5;
"a" "c" "k" "r" 4; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" 4; "d" "e" 7; "e" "a" "y" 5;
"a" "c" "k" "r" "y" 4; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" 4; "d" "e" 7; "e" "a" "y" 5;
"a" "c" "k" "r" "y" 4; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" 4; "d" "e" 7; "e" "a" "y" 5;
"a" "k" 5; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" 4; "d" "e" 7; "e" "a" "y" 5;
"a" "k" 5; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" 4; "d" "e" 7; "e" "a" "y" 5;
"a" "k" 5; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" 4; "d" "e" 7; "e" "a" "g" "y" 5;
"a" "k" 5; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" 4; "d" "e" 7; "e" "a" "g" "y" 5;
"a" "k" "r" 5; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" 4; "d" "e" 7; "e" "a" "g" "y" 5;
"a" "k" "r" 5; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" 4; "d" "e" 7; "e" "a" "g" "y" 5;
"a" "k" "r" 5; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "k" "r" 5; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "k" "r" 5; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "k" "r" 5; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "k" "r" 5; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "k" "r" 5; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "h" "k" "r" 5; "b" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "h" "k" "r" 5; "b" "i" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "h" "k" "r" 5; "b" "i" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "k" "r" 5; "b" "i" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "k" "r" 5; "b" "i" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "k" "r" 5; "b" "i" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "k" "r" 5; "b" "i" "k" "m" "q" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "k" "r" 5; "b" "i" "k" "m" "q" "z" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "k" "r" 5; "b" "i" "k" "m" "q" "z" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" 6;
"a" "k" "r" 5; "b" "i" "k" "m" "q" "z" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" "w" 6;
"a" "k" "r" 5; "b" "i" "k" "m" "q" "z" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" "w" 6;
"a" "k" "r" 5; "b" "i" "k" "m" "q" "z" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" "w" 6;
"a" "k" "r" 5; "b" "i" "k" "m" "q" "z" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" "w" 6;
"a" "k" "r" 5; "b" "i" "k" "m" "q" "z" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" "w" 6;
"a" "k" "r" 5; "b" "i" "k" "m" "q" "z" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" "w" 6;
"a" "k" "r" 5; "b" "i" "k" "m" "q" "z" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" "w" 6;
"a" "k" "p" "r" "y" 5; "b" "i" "k" "m" "q" "z" 4; "c" "j" "m" "n" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" "w" 6;
"a" "k" "p" "r" "y" 5; "b" "q" 5; "c" "j" "m" "n" "o" "p" "s" "t" "x" 4; "d" "e" 7; "e" "a" "w" 6;
"a" "k" "p" "r" "y" 5; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "k" "p" "r" "y" 5; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "k" "p" "r" "y" 5; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "k" "p" "r" "y" 5; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "k" "p" "r" "y" 5; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "r" 6; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "r" 6; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "r" 6; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "r" 6; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "r" 6; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "r" 6; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "r" 6; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "r" 6; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "r" "y" 6; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "r" "y" 6; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "r" "y" 6; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "r" "y" 6; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "r" "y" 6; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "w" 6;
"a" "r" "y" 6; "b" "q" 5; "c" "p" 5; "d" "e" 7; "e" "a" "g" "w" 6;
"a" "r" "y" 6; "b" "q" 5; "c" "j" "m" "n" "o" "p" "s" "t" "x" 4; "d" "e" 7; "e" "g" 7;
"a" "r" "y" 6; "b" "q" 5; "c" "j" "m" "n" "o" "p" "s" "t" "x" 4; "d" "e" 7; "e" "g" 7;
"a" "r" "y" 6; "b" "q" 5; "c" "j" "m" "n" "o" "p" "s" "t" "x" 4; "d" "e" 7; "e" "g" 7;
"a" "r" "y" 6; "b" "q" 5; "c" "j" "m" "n" "o" "p" "s" "t" "x" 4; "d" "e" 7; "e" "g" 7;
"a" "r" "y" 6; "b" "q" 5; "c" "j" "m" "n" "o" "p" "s" "t" "x" 4; "d" "e" 7; "e" "g" 7;
"a" "r" "y" 6; "b" "q" 5; "c" "j" "m" "n" "o" "p" "s" "t" "x" 4; "d" "e" 7; "e" "g" 7;
"a" "r" "y" 6; "b" "q" 5; "c" "j" "m" "n" "o" "p" "s" "t" "x" 4; "d" "e" 7; "e" "g" 8;
"a" "r" "y" 6; "b" "q" 5; "c" "j" "m" "n" "o" "p" "s" "t" "x" 4; "d" "e" 7; "e" "g" 8;
"a" "r" "y" 6; "b" "q" 5; "c" "j" "m" "n" "o" "p" "s" "t" "x" 4; "d" "e" 7; "e" "g" 8;
"a" "r" "y" 6; "b" "q" 5; "c" "j" "m" "n" "o" "p" "s" "t" "x" 4; "d" "e" 7; "e" "g" 8;
"a" "r" "y" 6; "b" "q" 5; "c" "j" "m" "n" "o" "p" "s" "t" "x" 4; "d" "e" 7; "e" "g" 8;
"a" "r" "y" 6; "b" "q" 5; "c" "n" 5; "d" "e" 7; "e" "g" 8;
