none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "e" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 6; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 6; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 6; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 6; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 6; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 6; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "b" "e" 3;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" "z" 5; "e" "e" 4;
"a" "d" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "b" "c" "w" 4; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" 5; "e" "e" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" 5; "e" "e" "r" 4;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" 5; "e" "r" 5;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" 5; "e" "r" 5;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" 5; "e" "r" 5;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" 5; "e" "r" 5;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" 5; "e" "r" 5;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "c" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "c" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "c" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "c" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "c" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "c" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "c" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "c" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "c" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "c" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "c" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "c" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
"a" "c" "d" "q" "r" 5; "b" "c" 5; "c" "u" 7; "d" "s" "t" "z" 5; "e" "r" 5;
