none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" "o" "s" 1; "d" "b" 1;
"a" "b" 2; "d" "b" 1;
"a" "b" 2; "d" "b" 1;
"a" "b" 2; "c" "i" 1; "d" "b" 1;
"a" "b" 2; "b" "r" 1; "c" "i" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "x" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "n" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "i" "n" "x" 1; "d" "b" "c" "x" 1;
"a" "b" 2; "b" "d" "e" "r" 1; "c" "h" "i" "n" "x" 1; "d" "b" "c" "x" 1;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "h" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "m" "n" "y" 3;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "y" 4;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "y" 4;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "y" 4;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "y" 4;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "y" 4;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 5; "c" "a" "f" "q" 3; "d" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 5; "c" "q" 4; "d" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 5; "c" "q" 4; "d" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "h" "r" "y" 4; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "r" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "r" "u" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "r" "u" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "r" "u" 5; "e" "g" "n" "y" 4;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "t" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "t" "u" 5; "e" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "t" "u" 5; "e" "g" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "t" "u" 5; "e" "g" "y" 5;
"a" "k" 5; "b" "z" 6; "c" "f" "k" "q" 4; "d" "h" "r" "t" "u" 5; "e" "g" "y" 5;
