none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "k" 1;
"b" "k" 1;
"b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1;
"a" "o" 1; "b" "k" 1; "c" "i" 1; "d" "a" 1;
"a" "o" 1; "b" "k" 1; "c" "i" 1; "d" "a" 1;
"a" "o" 4; "b" "c" "n" "o" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "o" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "o" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "o" "q" "u" 3; "c" "i" 4; "d" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "o" "q" "u" 3; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "o" "q" "u" 3; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "o" "q" "u" 3; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "o" "u" 3; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" "n" "o" "u" 3; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" 4; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" 4; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" 4; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" 4; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" 4; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" 4; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" 4; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" 4; "b" "c" 4; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" "t" "v" "x" 3; "b" "c" 4; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" "t" "v" "x" 3; "b" "c" 4; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" "t" "v" "x" 3; "b" "c" 4; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "o" "t" "v" "x" 3; "b" "c" 4; "c" "i" 4; "d" "b" "l" 4; "e" "a" 4;
"a" "d" "o" "t" "v" "x" 3; "b" "c" 4; "c" "i" 4; "d" "l" 5; "e" "a" 4;
"a" "d" "o" "t" "v" "x" 3; "b" "c" 4; "c" "i" 4; "d" "l" 5; "e" "a" 4;
"a" "d" "o" "t" "v" "x" 3; "b" "c" 4; "c" "i" 4; "d" "l" 5; "e" "a" 4;
"a" "d" "o" "t" "v" "x" 3; "b" "c" 4; "c" "i" 4; "d" "b" "l" 5; "e" "a" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 4; "d" "b" "l" 5; "e" "a" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 4; "d" "b" "l" 5; "e" "a" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 4; "d" "b" "l" 5; "e" "a" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 4; "d" "b" "l" 5; "e" "a" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 5; "d" "b" "l" 5; "e" "a" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 5; "d" "b" "l" 5; "e" "a" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 5; "d" "b" "l" 5; "e" "a" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 5; "d" "b" "l" "n" 5; "e" "a" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 5; "d" "b" "l" "n" 5; "e" "a" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 5; "d" "b" "l" "n" 5; "e" "a" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 5; "d" "b" "l" "n" 5; "e" "a" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 5; "d" "b" "l" "n" 5; "e" "a" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 5; "d" "b" "l" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 5; "d" "b" "l" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 5; "d" "b" "l" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" 4; "c" "i" 5; "d" "b" "l" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" "o" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" "o" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" "o" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" 4;
"a" "t" "y" 5; "b" "c" "n" "o" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" "x" 4;
"a" "t" "y" 5; "b" "c" "n" "o" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" "x" 4;
"a" "t" "y" 5; "b" "c" "n" "o" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" "x" 4;
"a" "t" "y" 5; "b" "c" "n" "o" "z" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" "x" 4;
"a" "t" "y" 5; "b" "c" "n" "o" "z" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" "x" 4;
"a" "t" "y" 5; "b" "c" "n" "o" "z" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" "x" 4;
"a" "t" "y" 5; "b" "c" "n" "o" "z" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" "h" "x" 4;
"a" "t" "y" 5; "b" "c" "n" "o" "z" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" 5;
"a" "t" "y" 5; "b" "c" "n" "o" "z" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" 5;
"a" "t" "y" 5; "b" "c" "n" "o" "z" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" 5;
"a" "t" "y" 5; "b" "c" "n" "o" "z" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" 5;
"a" "t" "y" 5; "b" "c" "n" "o" "z" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" 5;
"a" "t" "y" 5; "b" "c" "n" "o" "z" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" 5;
"a" "t" "y" 5; "b" "c" "n" "o" "z" 4; "c" "i" 5; "d" "b" "n" 5; "e" "a" 5;
"a" "e" "t" "y" 5; "b" "z" 5; "c" "i" 5; "d" "n" 6; "e" "a" 5;
