none
none
none
none
none
none
none
none
none
none
none
"e" "z" 1;
"e" "f" "z" 1;
"e" "f" "z" 1;
"e" "f" "z" 1;
"e" "f" "z" 1;
"e" "f" "z" 1;
"e" "f" "z" 1;
"e" "f" "z" 1;
"a" "l" 1; "e" "f" "z" 1;
"a" "l" 1; "e" "f" "z" 1;
"a" "l" 1; "e" "f" "z" 1;
"a" "l" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" "q" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" "q" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" "q" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" "q" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "k" "q" 1; "c" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "e" "k" "q" 1; "c" "b" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "e" "k" "q" 1; "c" "b" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "e" "k" "q" 1; "c" "b" "z" 1; "e" "f" "z" 1;
"a" "l" 1; "b" "e" "h" "k" "q" 1; "c" "b" "e" "l" "x" "z" 1; "e" "f" "z" 1;
"a" "l" "v" 5; "b" "h" "r" 5; "c" "g" "l" "q" "t" "x" 4; "d" "i" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" "r" 5; "c" "g" "l" "q" "t" "x" 4; "d" "i" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" "r" 5; "c" "g" 5; "d" "i" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" "r" 5; "c" "g" 5; "d" "i" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" "r" 5; "c" "g" 5; "d" "i" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" "r" 5; "c" "g" 5; "d" "i" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" "r" 5; "c" "g" 5; "d" "i" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "a" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "a" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "a" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "a" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "a" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "a" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" 5; "d" "a" "i" "m" "t" 4; "e" "f" 7;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" 5; "d" "a" "i" "m" "t" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "a" "i" "m" "t" "u" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "a" "i" "m" "t" "u" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "a" "i" "m" "t" "u" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "a" "i" "m" "t" "u" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "a" "i" "m" "t" "u" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "a" "i" "m" "t" "u" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "a" "i" "m" "t" "u" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "a" "i" "m" "t" "u" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "a" "i" "m" "t" "u" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "a" "i" "m" "t" "u" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "a" "i" "m" "t" "u" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "a" "i" "m" "t" "u" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "a" "i" "m" "t" "u" 4; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 5; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "g" "t" "x" 5; "d" "i" 6; "e" "f" 8;
"a" "l" "v" 5; "b" "h" 6; "c" "x" 6; "d" "i" 6; "e" "f" 8;
